"","date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used"
"71","",NA,"","",NA,NA,NA,NA,NA
"72","",NA,"","",NA,NA,NA,NA,NA
"73","",NA,"","",NA,NA,NA,NA,NA
"74","",NA,"","",NA,NA,NA,NA,NA
"75","",NA,"","",NA,NA,NA,NA,NA
"76","",NA,"","",NA,NA,NA,NA,NA
"77","",NA,"","",NA,NA,NA,NA,NA
"78","",NA,"","",NA,NA,NA,NA,NA
"79","",NA,"","",NA,NA,NA,NA,NA
"80","",NA,"","",NA,NA,NA,NA,NA
"81","",NA,"","",NA,NA,NA,NA,NA
"82","",NA,"","",NA,NA,NA,NA,NA
"83","",NA,"","",NA,NA,NA,NA,NA
"84","",NA,"","",NA,NA,NA,NA,NA
"85","",NA,"","",NA,NA,NA,NA,NA
"86","",NA,"","",NA,NA,NA,NA,NA
"87","",NA,"","",NA,NA,NA,NA,NA
"88","",NA,"","",NA,NA,NA,NA,NA
"89","",NA,"","",NA,NA,NA,NA,NA
"90","",NA,"","",NA,NA,NA,NA,NA
"91","",NA,"","",NA,NA,NA,NA,NA
"92","",NA,"","",NA,NA,NA,NA,NA
"93","",NA,"","",NA,NA,NA,NA,NA
"94","",NA,"","",NA,NA,NA,NA,NA
"95","",NA,"","",NA,NA,NA,NA,NA
"96","",NA,"","",NA,NA,NA,NA,NA
"97","",NA,"","",NA,NA,NA,NA,NA
"98","",NA,"","",NA,NA,NA,NA,NA
"99","",NA,"","",NA,NA,NA,NA,NA
"100","",NA,"","",NA,NA,NA,NA,NA
"101","",NA,"","",NA,NA,NA,NA,NA
"102","",NA,"","",NA,NA,NA,NA,NA
"103","",NA,"","",NA,NA,NA,NA,NA
"104","",NA,"","",NA,NA,NA,NA,NA
"105","",NA,"","",NA,NA,NA,NA,NA
"106","",NA,"","",NA,NA,NA,NA,NA
"107","",NA,"","",NA,NA,NA,NA,NA
"108","",NA,"","",NA,NA,NA,NA,NA
"109","",NA,"","",NA,NA,NA,NA,NA
"110","",NA,"","",NA,NA,NA,NA,NA
"111","",NA,"","",NA,NA,NA,NA,NA
"112","",NA,"","",NA,NA,NA,NA,NA
"113","",NA,"","",NA,NA,NA,NA,NA
"114","",NA,"","",NA,NA,NA,NA,NA
"115","",NA,"","",NA,NA,NA,NA,NA
"116","",NA,"","",NA,NA,NA,NA,NA
"117","",NA,"","",NA,NA,NA,NA,NA
"118","",NA,"","",NA,NA,NA,NA,NA
"119","",NA,"","",NA,NA,NA,NA,NA
"120","",NA,"","",NA,NA,NA,NA,NA
"121","",NA,"","",NA,NA,NA,NA,NA
"122","",NA,"","",NA,NA,NA,NA,NA
"123","",NA,"","",NA,NA,NA,NA,NA
"124","",NA,"","",NA,NA,NA,NA,NA
"125","",NA,"","",NA,NA,NA,NA,NA
"126","",NA,"","",NA,NA,NA,NA,NA
"127","",NA,"","",NA,NA,NA,NA,NA
"128","",NA,"","",NA,NA,NA,NA,NA
"129","",NA,"","",NA,NA,NA,NA,NA
"130","",NA,"","",NA,NA,NA,NA,NA
"131","",NA,"","",NA,NA,NA,NA,NA
"132","",NA,"","",NA,NA,NA,NA,NA
"133","",NA,"","",NA,NA,NA,NA,NA
"134","",NA,"","",NA,NA,NA,NA,NA
"135","",NA,"","",NA,NA,NA,NA,NA
"136","",NA,"","",NA,NA,NA,NA,NA
"137","",NA,"","",NA,NA,NA,NA,NA
"138","",NA,"","",NA,NA,NA,NA,NA
"139","",NA,"","",NA,NA,NA,NA,NA
"140","",NA,"","",NA,NA,NA,NA,NA
"141","",NA,"","",NA,NA,NA,NA,NA
"142","",NA,"","",NA,NA,NA,NA,NA
"143","",NA,"","",NA,NA,NA,NA,NA
"144","",NA,"","",NA,NA,NA,NA,NA
"145","",NA,"","",NA,NA,NA,NA,NA
"146","",NA,"","",NA,NA,NA,NA,NA
"147","",NA,"","",NA,NA,NA,NA,NA
"148","",NA,"","",NA,NA,NA,NA,NA
"149","",NA,"","",NA,NA,NA,NA,NA
"150","",NA,"","",NA,NA,NA,NA,NA
"151","",NA,"","",NA,NA,NA,NA,NA
"152","",NA,"","",NA,NA,NA,NA,NA
"153","",NA,"","",NA,NA,NA,NA,NA
"154","",NA,"","",NA,NA,NA,NA,NA
"155","",NA,"","",NA,NA,NA,NA,NA
"156","",NA,"","",NA,NA,NA,NA,NA
"157","",NA,"","",NA,NA,NA,NA,NA
"158","",NA,"","",NA,NA,NA,NA,NA
"159","",NA,"","",NA,NA,NA,NA,NA
"160","",NA,"","",NA,NA,NA,NA,NA
"161","",NA,"","",NA,NA,NA,NA,NA
"162","",NA,"","",NA,NA,NA,NA,NA
"163","",NA,"","",NA,NA,NA,NA,NA
"164","",NA,"","",NA,NA,NA,NA,NA
"165","",NA,"","",NA,NA,NA,NA,NA
"166","",NA,"","",NA,NA,NA,NA,NA
"167","",NA,"","",NA,NA,NA,NA,NA
"168","",NA,"","",NA,NA,NA,NA,NA
"169","",NA,"","",NA,NA,NA,NA,NA
"170","",NA,"","",NA,NA,NA,NA,NA
"171","",NA,"","",NA,NA,NA,NA,NA
"172","",NA,"","",NA,NA,NA,NA,NA
"173","",NA,"","",NA,NA,NA,NA,NA
"174","",NA,"","",NA,NA,NA,NA,NA
"175","",NA,"","",NA,NA,NA,NA,NA
"176","",NA,"","",NA,NA,NA,NA,NA
"177","",NA,"","",NA,NA,NA,NA,NA
"178","",NA,"","",NA,NA,NA,NA,NA
"179","",NA,"","",NA,NA,NA,NA,NA
"180","",NA,"","",NA,NA,NA,NA,NA
"181","",NA,"","",NA,NA,NA,NA,NA
"182","",NA,"","",NA,NA,NA,NA,NA
"183","",NA,"","",NA,NA,NA,NA,NA
"184","",NA,"","",NA,NA,NA,NA,NA
"185","",NA,"","",NA,NA,NA,NA,NA
"186","",NA,"","",NA,NA,NA,NA,NA
"187","",NA,"","",NA,NA,NA,NA,NA
"188","",NA,"","",NA,NA,NA,NA,NA
"189","",NA,"","",NA,NA,NA,NA,NA
"190","",NA,"","",NA,NA,NA,NA,NA
"191","",NA,"","",NA,NA,NA,NA,NA
"192","",NA,"","",NA,NA,NA,NA,NA
"193","",NA,"","",NA,NA,NA,NA,NA
"194","",NA,"","",NA,NA,NA,NA,NA
"195","",NA,"","",NA,NA,NA,NA,NA
"196","",NA,"","",NA,NA,NA,NA,NA
"197","",NA,"","",NA,NA,NA,NA,NA
"198","",NA,"","",NA,NA,NA,NA,NA
"199","",NA,"","",NA,NA,NA,NA,NA
"200","",NA,"","",NA,NA,NA,NA,NA
"201","",NA,"","",NA,NA,NA,NA,NA
"202","",NA,"","",NA,NA,NA,NA,NA
"203","",NA,"","",NA,NA,NA,NA,NA
"204","",NA,"","",NA,NA,NA,NA,NA
"205","",NA,"","",NA,NA,NA,NA,NA
"206","",NA,"","",NA,NA,NA,NA,NA
"207","",NA,"","",NA,NA,NA,NA,NA
"208","11/4/2016","05/05/18","PV_161104Specimen_RawData_5.csv","","1.49282",9999,9999,9999,0
"209","11/14/2016","05/05/18","PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.204291462673932,0.20925,0.0690535142031853,7
"210","11/14/2016","05/05/18","PV_161114Specimen_RawData_3.csv","20AG59","0.54546",0.173898164642648,0.16539,0.085309701675718,7
"211","11/14/2016","05/05/18","PV_161114Specimen_RawData_4.csv","20AG64U","0.26425",0.112249758494889,0.182785,0.101137482913112,2
"212","11/14/2016","05/05/18","PV_161114Specimen_RawData_5.csv","20BT61","0.31734",0.0975778768546542,0.134405,0.113178570306691,6
"213","11/14/2016","05/05/18","PV_161114Specimen_RawData_6.csv","20BT63.2","0.14899",0.0975778768546542,9999,9999,1
"214","11/14/2016","05/05/18","PV_161114Specimen_RawData_7.csv","20BT63.2.r2","0.05861",0.0509984183117594,0.046565,0.00635688996286707,2
"215","11/14/2016","05/05/18","PV_161114Specimen_RawData_8.csv","20BT60","0.35281",0.162316261803893,0.16035,0.075202795958661,5
"216","11/14/2016","05/05/18","PV_161114Specimen_RawData_9.csv","20BT57","0.4845",0.0801432855237701,0.10422,0.0899573514723981,8
"217","12/16/2016","05/05/18","PV_161216Specimen_RawData_1.csv","6DG_44","0.70196",0.087223449423443,0.124495,0.112879360309707,8
"218","12/16/2016","05/05/18","PV_161216Specimen_RawData_3.csv","6DG_Unk","0.12815",0.087223449423443,9999,9999,1
"219","12/16/2016","05/05/18","PV_161216Specimen_RawData_5.csv","15BT_21","0.21588",0.0550902595580635,0.06053,0.108286179635261,3
"220","12/16/2016","05/05/18","PV_161216Specimen_RawData_6.csv","15BT_19","0.60469",0.13599338472604,0.14025,0.0751765819630091,13
"221","12/16/2016","05/05/18","PV_161216Specimen_RawData_7.csv","15AG_19","0.221",0.226046602749447,0.14949,0.1097712567114,2
"222","12/17/2016","05/05/18","PV_161217Specimen_RawData_2.csv","6CT_42","0.30066",0.0698364149771368,0.09142,0.134912296079095,3
"223","12/17/2016","05/05/18","PV_161217Specimen_RawData_3.csv","6CT_43","0.38913",0.083761127672379,0.106965,0.0903062623105397,8
"224","12/17/2016","05/05/18","PV_161217Specimen_RawData_4.csv","6CT_43_run2","0.34031",0.0914863497529155,0.09134,0.0362917876385278,5
"225","12/17/2016","05/05/18","PV_161217Specimen_RawData_5.csv","15CG_17","0.12803",0.0567339451221823,0.06308,0.0186250825501526,3
"226","12/17/2016","05/05/18","PV_161217Specimen_RawData_7.csv","15CG_21_run2","0.15933",0.0755189229346532,0.0845,0.0515960602501134,3
"227","12/18/2016","05/05/18","PV_161218_2Specimen_RawData_1.csv","16CT_30","0.20278",0.117302850690591,0.10803,0.0312304269846388,8
"228","12/18/2016","05/05/18","PV_161218_2Specimen_RawData_5.csv","16DG_31_run2","0.05678",9999,9999,9999,0
"229","12/18/2016","05/05/18","PV_161218_2Specimen_RawData_6.csv","16DG_25","0.05567",9999,9999,9999,0
"230","12/18/2016","05/05/18","PV_161218_2Specimen_RawData_7.csv","16BG_30","0.63762",0.0974893119567105,0.128305,0.1013132626834,10
"231","12/18/2016","05/05/18","PV_161218_2Specimen_RawData_8.csv","16BG_29","0.30305",0.0728008547990982,0.06885,0.0149547194334542,3
"232","12/18/2016","05/05/18","PV_161218Specimen_RawData_4.csv","16AT_26_run2","0.19149",0.0728008547990982,9999,9999,1
"233","12/18/2016","05/05/18","PV_161218Specimen_RawData_5.csv","16AT_Unk","0.1473",0.0728008547990982,9999,9999,1
"234","12/18/2016","05/05/18","PV_161218Specimen_RawData_6.csv","17AT_40","0.55607",0.0824053877007083,0.10541,0.109854570619658,17
"235","12/18/2016","05/05/18","PV_161218Specimen_RawData_7.csv","17AT_35","0.28481",0.0824053877007083,9999,9999,1
"236","12/18/2016","05/05/18","PV_161218Specimen_RawData_9.csv","16CT_29_run2","0.16028",0.0812519777789677,0.12315,0.0600757921296091,2
"237","12/21/2016","05/05/18","PV_161221_1Specimen_RawData_1.csv","16BG_32","0.13547",0.0812519777789677,9999,9999,1
"238","12/21/2016","05/05/18","PV_161221_1Specimen_RawData_10.csv","24BG_96","0.59025",0.112066336984147,0.13151,0.0868886351090355,10
"239","12/21/2016","05/05/18","PV_161221_1Specimen_RawData_2.csv","23DGG_81","0.23561",0.100827662055665,0.10198,0.0354170992601032,5
"240","12/21/2016","05/05/18","PV_161221_1Specimen_RawData_5.csv","23DG_86","0.30989",0.073959138527053,0.085295,0.0843255845913129,6
"241","12/21/2016","05/05/18","PV_161221_1Specimen_RawData_6.csv","24BG_94","0.28789",0.107076854345214,0.11455,0.0695248321944517,4
"242","12/21/2016","05/05/18","PV_161221_2Specimen_RawData_1.csv","24T_89","0.18898",0.0622875199917924,0.0708,0.0481588991430106,4
"243","12/21/2016","05/05/18","PV_161221_2Specimen_RawData_2.csv","24T_90","1.06486",0.124047650400379,0.116565,0.0549266374357652,4
"244","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_1.csv","17BG_38","1.53654",0.104183401338947,0.1289,0.0929559892410891,20
"245","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_10.csv","21DG_71","0.74697",0.163842855773192,0.163925,0.0973323906873918,14
"246","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_2.csv","21AT_70","0.31666",0.102089416851542,0.11013,0.0487652197210721,10
"247","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_3.csv","21AT_67","0.37712",0.0943765087216972,0.13547,0.079663647990229,9
"248","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_5.csv","23BG_84","1.42711",0.110477102627622,0.129985,0.0994576651698549,22
"249","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_6.csv","21BG_64","0.43919",0.12343814499674,0.124905,0.0329724233261676,4
"250","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_7.csv","21BG_65","0.28197",0.0750391749839578,0.08109,0.0364109934994782,7
"251","12/23/2016","05/05/18","PV_161223_2Specimen_RawData_9.csv","21DG_70","1.38742",0.166015750810975,0.15208,0.0937721652409631,31
"252","12/23/2016","05/05/18","PV_161223Specimen_RawData_1.csv","22DT_76","0.26583",0.0876631483288911,0.09328,0.0363878547420327,12
"253","12/23/2016","05/05/18","PV_161223Specimen_RawData_10.csv","17BC_36","1.60068",0.0720373881463232,0.093085,0.0575738036494609,4
"254","12/23/2016","05/05/18","PV_161223Specimen_RawData_3.csv","22DT_78","0.12982",0.0720373881463232,9999,9999,1
"255","12/23/2016","05/05/18","PV_161223Specimen_RawData_6.csv","22BG_75","0.92771",0.28885273805517,0.26624,0.11300750629936,6
"256","12/23/2016","05/05/18","PV_161223Specimen_RawData_7.csv","24DG_92","0.21653",9999,9999,9999,0
"257","12/23/2016","05/05/18","PV_161223Specimen_RawData_9.csv","17BC_40","2.05197",0.145917778953508,0.17211,0.0967036364902559,14
"258","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_1.csv","15DT_27","0.05819",0.145917778953508,9999,9999,1
"259","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_10.csv","13AT_3","0.34805",0.183823971106998,0.19693,0.0867705491511953,4
"260","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_2.csv","15DT_23","0.28588",0.114344027084363,0.104555,0.0140360696065529,2
"261","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_5.csv","22AG_78","0.26632",0.13746955251219,0.14281,0.073607388442556,3
"262","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_6.csv","22AG_78","0.48193",0.0678921127697349,0.07983,0.102663324907489,12
"263","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_7.csv","22AG_80","0.17213",0.148563183439864,0.123595,0.0358008163314749,2
"264","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_8.csv","22AG_77","0.13139",0.0950909760676534,0.09333,0.0198720230474907,3
"265","12/26/2016","05/05/18","PV_161226_1Specimen_RawData_9.csv","13AT_2","0.10271",0.10408880146607,0.10328,0.0284800286750792,3
"266","12/26/2016","05/05/18","PV_161226_2Specimen_RawData_2.csv","11BG_81_2","0.14144",0.097485630412944,9999,9999,1
"267","12/26/2016","05/05/18","PV_161226_2Specimen_RawData_4.csv","11BG_81_1","0.25816",0.130489846510449,0.11896,0.0165321565441415,2
"268","12/26/2016","05/05/18","PV_161226_2Specimen_RawData_5.csv","14CG_15","0.31998",0.158692449429663,0.159445,0.0431860691272853,4
"269","12/26/2016","05/05/18","PV_161226_2Specimen_RawData_7.csv","14CG_12","0.33605",0.103429970462142,0.122775,0.0937305241103452,6
"270","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_1.csv","18CT_45","0.05629",0.103429970462142,9999,9999,1
"271","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_10.csv","18AT_47/49","0.188",0.112098548599547,0.11036,0.0157941761418568,4
"272","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_3.csv","18_CTNT2","0.07079",0.0574519087307259,0.05111,0.00909339320605901,2
"273","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_4.csv","18DT_44","0.20391",0.0574519087307259,9999,9999,1
"274","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_6.csv","18DT_47","0.09977",0.0609165698366767,0.05707,0.00551543289325507,2
"275","1/7/2017","05/05/18","PV_170107_1Specimen_RawData_7.csv","17CT_33","0.18647",0.149654586904855,0.10031,0.070753104525526,2
"276","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_1.csv","17DG_39","1.63142",0.0823889679853608,0.13522,0.0836732668992298,13
"277","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_3.csv","17DG_35","0.3961",0.194493015767775,0.18714,0.0385080306775959,6
"278","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_5.csv","3AG_24","0.03907",9999,9999,9999,0
"279","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_6.csv","3AG_19","0.51913",0.0882644077844102,0.12236,0.118651405512114,5
"280","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_7.csv","3AG_22","0.73679",0.0617139185075477,0.07584,0.0920005730472677,13
"281","1/7/2017","05/05/18","PV_170107_2Specimen_RawData_8.csv","20CG_58","0.70788",9999,9999,9999,0
"282","1/8/2017","05/05/18","PV_170108_0Specimen_RawData_3.csv","20CG_63","0.05759",0.0617139185075477,9999,9999,1
"283","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_1.csv","2DG_15","0.19619",0.137172387201621,0.130145,0.0100762716319083,2
"284","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_2.csv","2DG_11","0.19822",0.0679641774890705,0.07022,0.0599352219483669,5
"285","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_3.csv","20DT_UNK","0.19153",0.0626805843236015,0.097825,0.061446378453087,4
"286","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_4.csv","11AT_86","0.17094",0.0876507263485031,0.09233,0.0451127066357141,3
"287","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_5.csv","11AT_NL","0.06823",0.0876507263485031,9999,9999,1
"288","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_6.csv","10DG_57","0.74509",0.0904249560223843,0.11064,0.106719924611531,11
"289","1/8/2017","05/05/18","PV_170108_1Specimen_RawData_8.csv","10DG_no #","0.5014",0.197478100908846,0.18286,0.0494631603317055,5
"290","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_1.csv","11DG_Unk2","0.18525",0.180955922417669,0.155465,0.0365503495195326,2
"291","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_3.csv","11DG_85","0.06319",9999,9999,9999,0
"292","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_6.csv","13DG_unk","0.18153",0.137931636273409,0.13292,0.0192142025595652,5
"293","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_7.csv","9BT_74","0.29177",0.0529418299491573,0.05582,0.0675398387620225,5
"294","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_8.csv","9BT_74_2","0.16759",0.0632661838435394,0.07123,0.0560328591096332,3
"295","1/8/2017","05/05/18","PV_170108_2Specimen_RawData_9.csv","9BT_78","0.08908",0.0632661838435394,9999,9999,1
"296","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_1.csv","19DT_NT","0.07495",0.0521839688898615,0.04959,0.00371938166904124,2
"297","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_10.csv","4DG_32","0.96321",0.178837724526026,0.17377,0.071101985907568,6
"298","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_2.csv","19AG_56","0.16689",0.148265429518783,0.11338,0.0500207337011364,2
"299","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_3.csv","14DT_NT1","0.28781",0.187172584180253,0.18192,0.0932483896911898,5
"300","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_4.csv","14DT_NT2","0.34318",0.335170567999564,0.205625,0.185749880349894,2
"301","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_6.csv","19CG_45","0.2512",0.226922544747961,0.138555,0.126706464120817,2
"302","1/21/2017","05/05/18","PV_170121_1Specimen_RawData_9.csv","4DG_25","0.99007",0.060086555287536,0.06969,0.0757868864916785,13
"303","1/21/2017","05/05/18","PV_170121_3Specimen_RawData_1.csv","4DG_31","1.04612",0.129792980842438,0.13314,0.0622513044863833,13
"304","1/21/2017","05/05/18","PV_170121_3Specimen_RawData_2.csv","13CT_6","0.10381",0.0798195807541775,0.07403,0.00830143361113007,2
"305","1/21/2017","05/05/18","PV_170121_3Specimen_RawData_3.csv","13CT_5","0.06552",0.0515034281021818,0.05391,0.00345068109219035,2
"306","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_1.csv","3BT_18","0.23093",0.0435077581088582,0.152055,0.155641273606971,2
"307","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_10.csv","12DT_90","0.03407",9999,9999,9999,0
"308","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_3.csv","3BT_19","0.13672",0.059322734132959,0.07118,0.0504205606209742,3
"309","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_4.csv","18BG_42","0.08799",0.059322734132959,9999,9999,1
"310","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_5.csv","18BG_43","0.06172",9999,9999,9999,0
"311","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_6.csv","18BG_48","0.13923",0.059322734132959,9999,9999,1
"312","1/22/2017","05/05/18","PV_170122_1Specimen_RawData_9.csv","12DT_92","0.37435",0.106075982657894,0.1195,0.0831808082232113,6
"313","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_1.csv","3CT_17","0.70951",0.106075982657894,9999,9999,1
"314","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_10.csv","14BT_14","0.55606",0.12780482484605,0.141265,0.0849885904527358,8
"315","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_2.csv","3CT_17_run2","0.29793",0.0601899203927356,0.0696,0.123786938056216,3
"316","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_3.csv","3CT_21","0.29249",0.111990938297214,0.12417,0.0363331477441743,4
"317","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_4.csv","3CT_24","1.32302",0.0995870403182631,0.12162,0.0717668446362777,21
"318","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_5.csv","12CG_94","0.94534",0.105943103024205,0.139275,0.100950565349801,10
"319","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_6.csv","3CT_94","1.27545",0.140432256329189,0.17322,0.0697212756403888,13
"320","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_8.csv","12CG_91","0.23598",0.124743259154069,0.10482,0.0285671139599365,2
"321","1/22/2017","05/05/18","PV_170122_2Specimen_RawData_9.csv","14BT_10","0.08602",0.124743259154069,9999,9999,1
"322","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_1.csv","10BG_Unk1","0.11691",0.124743259154069,9999,9999,1
"323","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_10.csv","12BT_95","0.39216",0.124743259154069,9999,9999,1
"324","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_2.csv","10BG_Unk2","0.64592",0.188283238297667,0.20893,0.107526215780153,5
"325","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_5.csv","9AG_80","0.51878",0.0882433808492542,9999,9999,1
"326","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_6.csv","9AG_79","0.58789",0.103526350319042,0.13127,0.0776083713385237,11
"327","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_7.csv","9DT_73","0.29008",0.146639850517672,0.136565,0.0381537079019414,6
"328","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_8.csv","9AG_76","0.2751",0.155070940452658,0.14218,0.0184837712602164,2
"329","2/12/2017","05/05/18","PV_170212_1Specimen_RawData_9.csv","9DG_77","0.07952",0.155070940452658,9999,9999,1
"330","2/12/2017","05/05/18","PV_170212_2Specimen_RawData_1.csv","12BT_91","0.13297",0.121493310134575,0.089335,0.0461104332011748,2
"331","2/12/2017","05/05/18","PV_170212_2Specimen_RawData_2.csv","9CG_75","0.27909",0.0851776116494964,9999,9999,1
"332","2/12/2017","05/05/18","PV_170212_2Specimen_RawData_5.csv","9CG_78","0.35192",0.0923846921034173,9999,9999,1
