"","Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
"1",166.398,0.29374,166.482,0.13339,0,"y","1"
"2",183.444,0.22826,183.444,-0.01246,0.24072,"y","1"
"3",278.46,0.27201,278.46,0.10584,0.16617,"y","1"
