End date,"11/14/2016"
Specimen label,"20BT61"
Maximum Load,"0.31734",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00000"
"0.00600","0.00000","-0.00007"
"0.01200","0.00000","-0.00011"
"0.01800","0.00006","-0.00013"
"0.02400","0.00018","-0.00013"
"0.03000","0.00030","-0.00008"
"0.03600","0.00042","0.00004"
"0.04200","0.00060","0.00008"
"0.04800","0.00078","0.00010"
"0.05400","0.00102","0.00013"
"0.06000","0.00126","0.00011"
"0.06600","0.00143","0.00010"
"0.07200","0.00173","0.00009"
"0.07800","0.00203","0.00003"
"0.08400","0.00239","-0.00005"
"0.09000","0.00281","-0.00012"
"0.09600","0.00323","-0.00015"
"0.10200","0.00365","-0.00004"
"0.10800","0.00413","0.00008"
"0.11400","0.00460","0.00019"
"0.12000","0.00508","0.00029"
"0.12600","0.00568","0.00029"
"0.13200","0.00622","0.00034"
"0.13800","0.00682","0.00034"
"0.14400","0.00741","0.00030"
"0.15000","0.00801","0.00029"
"0.15600","0.00861","0.00030"
"0.16200","0.00927","0.00029"
"0.16800","0.00987","0.00027"
"0.17400","0.01052","0.00025"
"0.18000","0.01118","0.00029"
"0.18600","0.01190","0.00035"
"0.19200","0.01256","0.00040"
"0.19800","0.01321","0.00045"
"0.20400","0.01387","0.00061"
"0.21000","0.01459","0.00074"
"0.21600","0.01525","0.00083"
"0.22200","0.01590","0.00090"
"0.22800","0.01662","0.00096"
"0.23400","0.01728","0.00113"
"0.24000","0.01800","0.00116"
"0.24600","0.01865","0.00109"
"0.25200","0.01931","0.00100"
"0.25800","0.01991","0.00090"
"0.26400","0.02057","0.00087"
"0.27000","0.02123","0.00091"
"0.27600","0.02182","0.00094"
"0.28200","0.02242","0.00092"
"0.28800","0.02308","0.00091"
"0.29400","0.02368","0.00090"
"0.30000","0.02427","0.00088"
"0.30600","0.02487","0.00085"
"0.31200","0.02547","0.00079"
"0.31800","0.02607","0.00079"
"0.32400","0.02661","0.00083"
