End date,"11/14/2016"
Specimen label,"20BT63.2"
Maximum Load,"0.14899",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00124"
"1.10400","0.09220","0.00128"
"1.11000","0.09273","0.00127"
"1.11600","0.09321","0.00110"
"1.12200","0.09369","0.00104"
"1.12800","0.09423","0.00094"
"1.13400","0.09471","0.00090"
"1.14000","0.09518","0.00099"
"1.14600","0.09572","0.00107"
"1.15200","0.09620","0.00097"
"1.15800","0.09668","0.00080"
"1.16400","0.09722","0.00077"
"1.17000","0.09770","0.00080"
"1.17600","0.09817","0.00087"
"1.18200","0.09871","0.00089"
"1.18800","0.09919","0.00086"
"1.19400","0.09973","0.00097"
"1.20000","0.10021","0.00103"
"1.20600","0.10069","0.00111"
"1.21200","0.10122","0.00117"
"1.21800","0.10170","0.00110"
"1.22400","0.10224","0.00112"
"1.23000","0.10272","0.00128"
"1.23600","0.10320","0.00144"
"1.24200","0.10373","0.00164"
"1.24800","0.10421","0.00174"
"1.25400","0.10469","0.00151"
"1.26000","0.10523","0.00117"
"1.26600","0.10571","0.00081"
"1.27200","0.10625","0.00064"
"1.27800","0.10672","0.00062"
"1.28400","0.10720","0.00057"
"1.29000","0.10774","0.00035"
"1.29600","0.10822","0.00027"
"1.30200","0.10876","0.00044"
"1.30800","0.10924","0.00074"
"1.31400","0.10971","0.00096"
"1.32000","0.11025","0.00117"
"1.32600","0.11073","0.00156"
"1.33200","0.11127","0.00189"
"1.33800","0.11175","0.00208"
"1.34400","0.11228","0.00215"
"1.35000","0.11276","0.00206"
"1.35600","0.11324","0.00181"
"1.36200","0.11378","0.00147"
"1.36800","0.11426","0.00131"
"1.37400","0.11474","0.00115"
"1.38000","0.11521","0.00102"
"1.38600","0.11575","0.00078"
"1.39200","0.11623","0.00049"
"1.39800","0.11671","0.00013"
"1.40400","0.11725","-0.00009"
"1.41000","0.11773","-0.00023"
"1.41600","0.11826","-0.00013"
"1.42200","0.11874","0.00013"
"1.42800","0.11928","0.00056"
"1.43400","0.11976","0.00090"
"1.44000","0.12024","0.00114"
"1.44600","0.12077","0.00142"
"1.45200","0.12125","0.00150"
"1.45800","0.12173","0.00146"
"1.46400","0.12227","0.00146"
"1.47000","0.12275","0.00154"
"1.47600","0.12323","0.00160"
"1.48200","0.12376","0.00137"
"1.48800","0.12424","0.00110"
"1.49400","0.12472","0.00094"
"1.50000","0.12520","0.00062"
"1.50600","0.12574","0.00038"
"1.51200","0.12622","0.00038"
"1.51800","0.12669","0.00045"
"1.52400","0.12723","0.00057"
"1.53000","0.12771","0.00070"
"1.53600","0.12819","0.00078"
"1.54200","0.12873","0.00081"
"1.54800","0.12921","0.00095"
"1.55400","0.12974","0.00115"
"1.56000","0.13022","0.00124"
"1.56600","0.13076","0.00142"
"1.57200","0.13124","0.00142"
"1.57800","0.13172","0.00133"
"1.58400","0.13219","0.00140"
"1.59000","0.13273","0.00141"
"1.59600","0.13321","0.00140"
"1.60200","0.13369","0.00143"
"1.60800","0.13417","0.00146"
"1.61400","0.13465","0.00155"
"1.62000","0.13512","0.00177"
"1.62600","0.13566","0.00188"
"1.63200","0.13614","0.00175"
"1.63800","0.13668","0.00164"
"1.64400","0.13716","0.00145"
"1.65000","0.13764","0.00122"
"1.65600","0.13817","0.00101"
"1.66200","0.13865","0.00074"
"1.66800","0.13913","0.00041"
"1.67400","0.13967","0.00019"
"1.68000","0.14015","0.00009"
"1.68600","0.14068","0.00018"
"1.69200","0.14116","0.00044"
"1.69800","0.14164","0.00063"
"1.70400","0.14218","0.00077"
"1.71000","0.14266","0.00071"
"1.71600","0.14320","0.00062"
"1.72200","0.14367","0.00048"
"1.72800","0.14421","0.00055"
"1.73400","0.14469","0.00063"
"1.74000","0.14517","0.00070"
"1.74600","0.14565","0.00080"
"1.75200","0.14619","0.00100"
"1.75800","0.14666","0.00106"
"1.76400","0.14714","0.00113"
"1.77000","0.14762","0.00124"
"1.77600","0.14816","0.00133"
"1.78200","0.14864","0.00140"
"1.78800","0.14917","0.00129"
"1.79400","0.14965","0.00120"
"1.80000","0.15019","0.00128"
"1.80600","0.15067","0.00135"
"1.81200","0.15115","0.00144"
"1.81800","0.15169","0.00154"
"1.82400","0.15216","0.00162"
"1.83000","0.15270","0.00165"
"1.83600","0.15318","0.00156"
"1.84200","0.15372","0.00151"
"1.84800","0.15420","0.00155"
"1.85400","0.15474","0.00153"
"1.86000","0.15521","0.00144"
"1.86600","0.15575","0.00137"
"1.87200","0.15623","0.00140"
"1.87800","0.15677","0.00139"
"1.88400","0.15725","0.00142"
"1.89000","0.15772","0.00150"
"1.89600","0.15826","0.00154"
"1.90200","0.15874","0.00154"
"1.90800","0.15922","0.00152"
"1.91400","0.15970","0.00149"
"1.92000","0.16018","0.00136"
"1.92600","0.16065","0.00120"
"1.93200","0.16119","0.00124"
"1.93800","0.16167","0.00132"
"1.94400","0.16215","0.00148"
"1.95000","0.16269","0.00162"
"1.95600","0.16317","0.00181"
"1.96200","0.16364","0.00187"
"1.96800","0.16418","0.00168"
"1.97400","0.16466","0.00146"
"1.98000","0.16520","0.00125"
"1.98600","0.16568","0.00110"
"1.99200","0.16621","0.00101"
"1.99800","0.16669","0.00099"
"2.00400","0.16717","0.00102"
"2.01000","0.16771","0.00102"
"2.01600","0.16819","0.00102"
"2.02200","0.16873","0.00110"
"2.02800","0.16920","0.00106"
"2.03400","0.16968","0.00103"
