End date,"11/14/2016"
Specimen label,"20BT63.2.r2"
Maximum Load,"0.05861",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","19.63393","0.00760"
"1.11000","19.63441","0.00711"
"1.11600","19.63488","0.00677"
"1.12200","19.63542","0.00638"
"1.12800","19.63590","0.00616"
"1.13400","19.63638","0.00624"
"1.14000","19.63685","0.00659"
"1.14600","19.63733","0.00711"
"1.15200","19.63781","0.00747"
"1.15800","19.63829","0.00759"
"1.16400","19.63883","0.00768"
"1.17000","19.63931","0.00780"
"1.17600","19.63979","0.00786"
"1.18200","19.64033","0.00782"
"1.18800","19.64080","0.00785"
"1.19400","19.64128","0.00784"
"1.20000","19.64182","0.00767"
"1.20600","19.64230","0.00752"
"1.21200","19.64283","0.00738"
"1.21800","19.64331","0.00729"
"1.22400","19.64379","0.00728"
"1.23000","19.64433","0.00733"
"1.23600","19.64481","0.00762"
"1.24200","19.64528","0.00791"
"1.24800","19.64582","0.00823"
"1.25400","19.64630","0.00853"
"1.26000","19.64684","0.00872"
"1.26600","19.64732","0.00888"
"1.27200","19.64780","0.00889"
"1.27800","19.64834","0.00883"
"1.28400","19.64881","0.00864"
"1.29000","19.64935","0.00829"
"1.29600","19.64983","0.00786"
"1.30200","19.65031","0.00751"
"1.30800","19.65085","0.00750"
"1.31400","19.65138","0.00754"
"1.32000","19.65186","0.00754"
"1.32600","19.65234","0.00742"
"1.33200","19.65288","0.00736"
"1.33800","19.65336","0.00722"
"1.34400","19.65384","0.00706"
"1.35000","19.65437","0.00697"
"1.35600","19.65485","0.00685"
"1.36200","19.65539","0.00660"
"1.36800","19.65587","0.00651"
"1.37400","19.65640","0.00658"
"1.38000","19.65689","0.00665"
"1.38600","19.65742","0.00678"
"1.39200","19.65790","0.00676"
"1.39800","19.65838","0.00676"
"1.40400","19.65892","0.00684"
"1.41000","19.65940","0.00698"
"1.41600","19.65988","0.00707"
"1.42200","19.66041","0.00715"
"1.42800","19.66089","0.00734"
"1.43400","19.66143","0.00750"
"1.44000","19.66191","0.00742"
"1.44600","19.66245","0.00740"
"1.45200","19.66292","0.00739"
"1.45800","19.66340","0.00741"
"1.46400","19.66394","0.00741"
"1.47000","19.66442","0.00730"
"1.47600","19.66490","0.00712"
"1.48200","19.66537","0.00680"
"1.48800","19.66591","0.00662"
"1.49400","19.66639","0.00670"
"1.50000","19.66687","0.00677"
"1.50600","19.66741","0.00683"
"1.51200","19.66789","0.00684"
"1.51800","19.66836","0.00681"
"1.52400","19.66890","0.00679"
"1.53000","19.66938","0.00684"
"1.53600","19.66986","0.00699"
"1.54200","19.67040","0.00704"
"1.54800","19.67088","0.00700"
"1.55400","19.67141","0.00701"
"1.56000","19.67189","0.00711"
"1.56600","19.67237","0.00722"
"1.57200","19.67291","0.00735"
"1.57800","19.67339","0.00740"
"1.58400","19.67393","0.00741"
"1.59000","19.67440","0.00727"
"1.59600","19.67494","0.00711"
"1.60200","19.67542","0.00694"
"1.60800","19.67590","0.00680"
"1.61400","19.67644","0.00664"
"1.62000","19.67691","0.00660"
"1.62600","19.67739","0.00655"
"1.63200","19.67787","0.00662"
"1.63800","19.67841","0.00696"
"1.64400","19.67889","0.00730"
"1.65000","19.67937","0.00741"
"1.65600","19.67984","0.00740"
"1.66200","19.68038","0.00723"
"1.66800","19.68086","0.00720"
"1.67400","19.68134","0.00710"
"1.68000","19.68188","0.00711"
"1.68600","19.68236","0.00733"
"1.69200","19.68283","0.00761"
"1.69800","19.68337","0.00784"
"1.70400","19.68385","0.00811"
"1.71000","19.68433","0.00826"
"1.71600","19.68486","0.00834"
"1.72200","19.68534","0.00825"
"1.72800","19.68582","0.00798"
"1.73400","19.68636","0.00778"
"1.74000","19.68684","0.00767"
"1.74600","19.68732","0.00755"
"1.75200","19.68785","0.00758"
"1.75800","19.68833","0.00775"
"1.76400","19.68881","0.00797"
"1.77000","19.68935","0.00800"
"1.77600","19.68983","0.00808"
"1.78200","19.69031","0.00809"
"1.78800","19.69084","0.00826"
"1.79400","19.69132","0.00836"
"1.80000","19.69180","0.00835"
"1.80600","19.69228","0.00845"
"1.81200","19.69282","0.00862"
"1.81800","19.69330","0.00862"
"1.82400","19.69378","0.00855"
"1.83000","19.69431","0.00854"
"1.83600","19.69479","0.00822"
"1.84200","19.69533","0.00792"
"1.84800","19.69581","0.00782"
"1.85400","19.69635","0.00788"
"1.86000","19.69682","0.00786"
"1.86600","19.69736","0.00777"
"1.87200","19.69784","0.00766"
"1.87800","19.69838","0.00757"
"1.88400","19.69886","0.00751"
"1.89000","19.69939","0.00745"
"1.89600","19.69987","0.00734"
"1.90200","19.70041","0.00732"
"1.90800","19.70089","0.00739"
"1.91400","19.70137","0.00733"
"1.92000","19.70191","0.00718"
"1.92600","19.70239","0.00719"
"1.93200","19.70286","0.00732"
"1.93800","19.70340","0.00754"
"1.94400","19.70388","0.00760"
"1.95000","19.70436","0.00754"
"1.95600","19.70490","0.00740"
"1.96200","19.70537","0.00713"
"1.96800","19.70585","0.00696"
"1.97400","19.70639","0.00695"
"1.98000","19.70687","0.00690"
"1.98600","19.70741","0.00687"
"1.99200","19.70789","0.00675"
"1.99800","19.70843","0.00670"
"2.00400","19.70890","0.00658"
"2.01000","19.70938","0.00638"
"2.01600","19.70992","0.00632"
"2.02200","19.71040","0.00650"
"2.02800","19.71094","0.00682"
"2.03400","19.71141","0.00699"
"2.04000","19.71189","0.00698"
"2.04600","19.71243","0.00703"
"2.05200","19.71291","0.00707"
"2.05800","19.71339","0.00709"
"2.06400","19.71392","0.00701"
"2.07000","19.71440","0.00693"
"2.07600","19.71488","0.00687"
"2.08200","19.71542","0.00705"
"2.08800","19.71590","0.00731"
"2.09400","19.71638","0.00745"
"2.10000","19.71692","0.00740"
"2.10600","19.71739","0.00725"
"2.11200","19.71793","0.00713"
"2.11800","19.71841","0.00718"
"2.12400","19.71889","0.00739"
"2.13000","19.71943","0.00761"
"2.13600","19.71990","0.00772"
"2.14200","19.72038","0.00773"
"2.14800","19.72086","0.00769"
"2.15400","19.72140","0.00766"
"2.16000","19.72187","0.00750"
"2.16600","19.72235","0.00736"
"2.17200","19.72289","0.00731"
"2.17800","19.72337","0.00723"
"2.18400","19.72385","0.00728"
"2.19000","19.72439","0.00753"
"2.19600","19.72486","0.00773"
"2.20200","19.72535","0.00817"
"2.20800","19.72582","0.00841"
"2.21400","19.72636","0.00844"
"2.22000","19.72684","0.00843"
"2.22600","19.72732","0.00839"
"2.23200","19.72785","0.00826"
"2.23800","19.72833","0.00804"
"2.24400","19.72887","0.00760"
"2.25000","19.72935","0.00714"
"2.25600","19.72983","0.00692"
"2.26200","19.73037","0.00697"
"2.26800","19.73084","0.00732"
"2.27400","19.73132","0.00773"
"2.28000","19.73180","0.00788"
"2.28600","19.73234","0.00781"
"2.29200","19.73282","0.00777"
"2.29800","19.73330","0.00770"
"2.30400","19.73383","0.00761"
"2.31000","19.73431","0.00746"
"2.31600","19.73485","0.00754"
"2.32200","19.73533","0.00780"
"2.32800","19.73581","0.00824"
"2.33400","19.73629","0.00862"
"2.34000","19.73682","0.00883"
"2.34600","19.73730","0.00893"
"2.35200","19.73778","0.00890"
"2.35800","19.73832","0.00879"
"2.36400","19.73880","0.00883"
"2.37000","19.73927","0.00888"
"2.37600","19.73981","0.00890"
"2.38200","19.74029","0.00884"
"2.38800","19.74083","0.00879"
"2.39400","19.74137","0.00866"
"2.40000","19.74184","0.00840"
"2.40600","19.74238","0.00799"
"2.41200","19.74286","0.00748"
"2.41800","19.74334","0.00721"
"2.42400","19.74388","0.00717"
"2.43000","19.74436","0.00729"
"2.43600","19.74483","0.00739"
"2.44200","19.74531","0.00745"
"2.44800","19.74585","0.00765"
"2.45400","19.74633","0.00776"
"2.46000","19.74687","0.00793"
"2.46600","19.74735","0.00807"
"2.47200","19.74782","0.00818"
"2.47800","19.74836","0.00817"
"2.48400","19.74884","0.00820"
"2.49000","19.74932","0.00833"
"2.49600","19.74986","0.00852"
"2.50200","19.75034","0.00850"
"2.50800","19.75087","0.00839"
"2.51400","19.75135","0.00827"
"2.52000","19.75189","0.00807"
"2.52600","19.75237","0.00795"
"2.53200","19.75291","0.00796"
"2.53800","19.75339","0.00818"
"2.54400","19.75392","0.00828"
"2.55000","19.75440","0.00819"
"2.55600","19.75494","0.00806"
"2.56200","19.75542","0.00799"
"2.56800","19.75590","0.00806"
"2.57400","19.75637","0.00818"
"2.58000","19.75691","0.00806"
"2.58600","19.75739","0.00780"
"2.59200","19.75787","0.00748"
"2.59800","19.75834","0.00732"
"2.60400","19.75889","0.00712"
"2.61000","19.75937","0.00698"
"2.61600","19.75984","0.00691"
"2.62200","19.76038","0.00696"
"2.62800","19.76086","0.00700"
"2.63400","19.76140","0.00710"
"2.64000","19.76188","0.00724"
"2.64600","19.76235","0.00736"
"2.65200","19.76289","0.00744"
"2.65800","19.76337","0.00745"
"2.66400","19.76391","0.00731"
"2.67000","19.76439","0.00729"
"2.67600","19.76492","0.00742"
"2.68200","19.76540","0.00755"
"2.68800","19.76588","0.00770"
"2.69400","19.76642","0.00778"
"2.70000","19.76690","0.00770"
"2.70600","19.76738","0.00762"
"2.71200","19.76791","0.00766"
"2.71800","19.76839","0.00774"
"2.72400","19.76887","0.00781"
"2.73000","19.76935","0.00767"
"2.73600","19.76983","0.00756"
"2.74200","19.77036","0.00754"
"2.74800","19.77084","0.00767"
"2.75400","19.77132","0.00787"
"2.76000","19.77180","0.00783"
"2.76600","19.77234","0.00765"
"2.77200","19.77282","0.00746"
"2.77800","19.77329","0.00721"
"2.78400","19.77377","0.00717"
"2.79000","19.77431","0.00733"
"2.79600","19.77479","0.00746"
"2.80200","19.77533","0.00738"
"2.80800","19.77581","0.00732"
"2.81400","19.77628","0.00729"
"2.82000","19.77682","0.00734"
"2.82600","19.77730","0.00737"
"2.83200","19.77784","0.00734"
"2.83800","19.77832","0.00729"
"2.84400","19.77880","0.00720"
"2.85000","19.77933","0.00717"
"2.85600","19.77981","0.00724"
"2.86200","19.78029","0.00724"
"2.86800","19.78083","0.00715"
"2.87400","19.78131","0.00700"
"2.88000","19.78179","0.00698"
"2.88600","19.78226","0.00706"
"2.89200","19.78280","0.00727"
"2.89800","19.78328","0.00749"
"2.90400","19.78376","0.00761"
"2.91000","19.78424","0.00772"
"2.91600","19.78477","0.00816"
"2.92200","19.78525","0.00850"
"2.92800","19.78579","0.00846"
"2.93400","19.78627","0.00835"
"2.94000","19.78681","0.00832"
"2.94600","19.78735","0.00834"
"2.95200","19.78782","0.00842"
"2.95800","19.78836","0.00856"
"2.96400","19.78884","0.00856"
"2.97000","19.78938","0.00839"
"2.97600","19.78986","0.00821"
"2.98200","19.79040","0.00810"
"2.98800","19.79087","0.00802"
"2.99400","19.79135","0.00806"
"3.00000","19.79189","0.00803"
"3.00600","19.79237","0.00805"
"3.01200","19.79285","0.00809"
"3.01800","19.79338","0.00810"
"3.02400","19.79386","0.00801"
"3.03000","19.79440","0.00795"
"3.03600","19.79488","0.00795"
"3.04200","19.79536","0.00792"
"3.04800","19.79590","0.00790"
"3.05400","19.79638","0.00776"
"3.06000","19.79685","0.00770"
"3.06600","19.79739","0.00774"
"3.07200","19.79787","0.00776"
"3.07800","19.79835","0.00772"
"3.08400","19.79889","0.00766"
"3.09000","19.79943","0.00753"
"3.09600","19.79990","0.00749"
"3.10200","19.80038","0.00747"
"3.10800","19.80092","0.00729"
"3.11400","19.80140","0.00721"
"3.12000","19.80193","0.00722"
"3.12600","19.80241","0.00722"
"3.13200","19.80289","0.00733"
"3.13800","19.80337","0.00741"
"3.14400","19.80391","0.00746"
"3.15000","19.80439","0.00768"
"3.15600","19.80486","0.00786"
"3.16200","19.80540","0.00783"
"3.16800","19.80588","0.00778"
"3.17400","19.80636","0.00756"
"3.18000","19.80684","0.00741"
"3.18600","19.80738","0.00731"
"3.19200","19.80786","0.00724"
"3.19800","19.80833","0.00724"
"3.20400","19.80887","0.00725"
"3.21000","19.80935","0.00729"
"3.21600","19.80983","0.00735"
"3.22200","19.81037","0.00738"
"3.22800","19.81084","0.00726"
"3.23400","19.81138","0.00707"
"3.24000","19.81186","0.00701"
"3.24600","19.81240","0.00717"
"3.25200","19.81287","0.00756"
"3.25800","19.81342","0.00777"
"3.26400","19.81389","0.00778"
"3.27000","19.81443","0.00789"
"3.27600","19.81491","0.00787"
"3.28200","19.81539","0.00773"
"3.28800","19.81586","0.00752"
"3.29400","19.81640","0.00752"
"3.30000","19.81688","0.00750"
"3.30600","19.81736","0.00745"
"3.31200","19.81784","0.00730"
"3.31800","19.81832","0.00713"
"3.32400","19.81885","0.00710"
"3.33000","19.81933","0.00726"
"3.33600","19.81981","0.00741"
"3.34200","19.82035","0.00757"
"3.34800","19.82083","0.00766"
"3.35400","19.82130","0.00775"
"3.36000","19.82184","0.00781"
"3.36600","19.82232","0.00778"
"3.37200","19.82286","0.00759"
"3.37800","19.82334","0.00737"
"3.38400","19.82382","0.00718"
"3.39000","19.82436","0.00708"
"3.39600","19.82483","0.00715"
"3.40200","19.82537","0.00738"
"3.40800","19.82585","0.00752"
"3.41400","19.82633","0.00765"
"3.42000","19.82681","0.00774"
"3.42600","19.82734","0.00765"
"3.43200","19.82782","0.00764"
"3.43800","19.82830","0.00770"
"3.44400","19.82878","0.00748"
"3.45000","19.82926","0.00722"
"3.45600","19.82980","0.00711"
"3.46200","19.83027","0.00722"
"3.46800","19.83075","0.00745"
"3.47400","19.83129","0.00779"
"3.48000","19.83177","0.00807"
"3.48600","19.83225","0.00836"
"3.49200","19.83279","0.00864"
"3.49800","19.83326","0.00894"
"3.50400","19.83380","0.00910"
"3.51000","19.83434","0.00904"
"3.51600","19.83482","0.00898"
"3.52200","19.83536","0.00897"
"3.52800","19.83590","0.00874"
"3.53400","19.83637","0.00856"
"3.54000","19.83691","0.00830"
"3.54600","19.83739","0.00827"
"3.55200","19.83793","0.00823"
"3.55800","19.83840","0.00810"
"3.56400","19.83888","0.00790"
"3.57000","19.83942","0.00781"
"3.57600","19.83990","0.00786"
"3.58200","19.84038","0.00788"
"3.58800","19.84086","0.00792"
"3.59400","19.84139","0.00803"
"3.60000","19.84187","0.00803"
"3.60600","19.84241","0.00816"
"3.61200","19.84289","0.00838"
"3.61800","19.84337","0.00855"
"3.62400","19.84391","0.00872"
"3.63000","19.84438","0.00895"
"3.63600","19.84486","0.00917"
"3.64200","19.84534","0.00929"
"3.64800","19.84588","0.00931"
"3.65400","19.84636","0.00923"
"3.66000","19.84690","0.00903"
"3.66600","19.84737","0.00899"
"3.67200","19.84791","0.00895"
"3.67800","19.84839","0.00872"
"3.68400","19.84893","0.00859"
"3.69000","19.84941","0.00845"
"3.69600","19.84995","0.00841"
"3.70200","19.85042","0.00836"
"3.70800","19.85090","0.00838"
"3.71400","19.85144","0.00829"
"3.72000","19.85192","0.00814"
"3.72600","19.85240","0.00794"
"3.73200","19.85287","0.00804"
"3.73800","19.85335","0.00833"
"3.74400","19.85389","0.00850"
"3.75000","19.85437","0.00864"
"3.75600","19.85485","0.00851"
"3.76200","19.85532","0.00828"
"3.76800","19.85586","0.00826"
"3.77400","19.85634","0.00820"
"3.78000","19.85682","0.00806"
"3.78600","19.85736","0.00786"
"3.79200","19.85784","0.00752"
"3.79800","19.85831","0.00723"
"3.80400","19.85885","0.00720"
"3.81000","19.85933","0.00748"
"3.81600","19.85987","0.00782"
"3.82200","19.86035","0.00799"
"3.82800","19.86089","0.00796"
"3.83400","19.86136","0.00798"
"3.84000","19.86190","0.00799"
"3.84600","19.86238","0.00793"
"3.85200","19.86286","0.00785"
"3.85800","19.86334","0.00778"
"3.86400","19.86382","0.00777"
"3.87000","19.86436","0.00795"
"3.87600","19.86483","0.00817"
"3.88200","19.86531","0.00820"
"3.88800","19.86585","0.00827"
"3.89400","19.86633","0.00821"
"3.90000","19.86681","0.00809"
"3.90600","19.86734","0.00801"
"3.91200","19.86782","0.00794"
"3.91800","19.86830","0.00799"
"3.92400","19.86884","0.00817"
"3.93000","19.86932","0.00830"
"3.93600","19.86979","0.00845"
"3.94200","19.87027","0.00848"
"3.94800","19.87081","0.00860"
"3.95400","19.87129","0.00857"
"3.96000","19.87177","0.00848"
"3.96600","19.87231","0.00827"
"3.97200","19.87284","0.00808"
"3.97800","19.87332","0.00796"
"3.98400","19.87386","0.00787"
"3.99000","19.87434","0.00793"
"3.99600","19.87482","0.00787"
"4.00200","19.87536","0.00770"
"4.00800","19.87584","0.00764"
"4.01400","19.87631","0.00763"
"4.02000","19.87679","0.00755"
"4.02600","19.87727","0.00753"
"4.03200","19.87781","0.00766"
"4.03800","19.87829","0.00786"
"4.04400","19.87882","0.00807"
"4.05000","19.87930","0.00807"
"4.05600","19.87978","0.00815"
"4.06200","19.88032","0.00830"
"4.06800","19.88080","0.00851"
"4.07400","19.88134","0.00867"
"4.08000","19.88181","0.00881"
"4.08600","19.88229","0.00899"
"4.09200","19.88283","0.00922"
"4.09800","19.88331","0.00933"
"4.10400","19.88385","0.00915"
"4.11000","19.88433","0.00901"
"4.11600","19.88486","0.00902"
"4.12200","19.88540","0.00904"
"4.12800","19.88588","0.00894"
"4.13400","19.88636","0.00872"
"4.14000","19.88690","0.00870"
"4.14600","19.88737","0.00862"
"4.15200","19.88785","0.00845"
"4.15800","19.88839","0.00823"
"4.16400","19.88887","0.00801"
"4.17000","19.88935","0.00801"
"4.17600","19.88983","0.00802"
"4.18200","19.89036","0.00803"
"4.18800","19.89084","0.00797"
"4.19400","19.89138","0.00795"
"4.20000","19.89186","0.00807"
"4.20600","19.89233","0.00826"
"4.21200","19.89288","0.00856"
"4.21800","19.89335","0.00886"
"4.22400","19.89389","0.00910"
"4.23000","19.89437","0.00923"
"4.23600","19.89485","0.00926"
"4.24200","19.89539","0.00927"
"4.24800","19.89586","0.00937"
"4.25400","19.89640","0.00946"
"4.26000","19.89688","0.00930"
"4.26600","19.89742","0.00908"
"4.27200","19.89790","0.00882"
"4.27800","19.89837","0.00842"
"4.28400","19.89891","0.00800"
"4.29000","19.89939","0.00784"
"4.29600","19.89987","0.00781"
"4.30200","19.90035","0.00778"
"4.30800","19.90088","0.00767"
"4.31400","19.90137","0.00761"
"4.32000","19.90184","0.00763"
"4.32600","19.90238","0.00762"
"4.33200","19.90286","0.00769"
"4.33800","19.90334","0.00764"
"4.34400","19.90382","0.00779"
"4.35000","19.90435","0.00800"
"4.35600","19.90483","0.00824"
"4.36200","19.90531","0.00846"
"4.36800","19.90585","0.00865"
"4.37400","19.90633","0.00858"
"4.38000","19.90681","0.00828"
"4.38600","19.90734","0.00793"
"4.39200","19.90782","0.00766"
"4.39800","19.90830","0.00741"
"4.40400","19.90884","0.00726"
"4.41000","19.90932","0.00703"
"4.41600","19.90985","0.00688"
"4.42200","19.91033","0.00689"
"4.42800","19.91081","0.00716"
"4.43400","19.91129","0.00756"
"4.44000","19.91183","0.00797"
"4.44600","19.91231","0.00827"
"4.45200","19.91278","0.00832"
"4.45800","19.91332","0.00829"
"4.46400","19.91380","0.00812"
"4.47000","19.91428","0.00781"
"4.47600","19.91476","0.00748"
"4.48200","19.91529","0.00743"
"4.48800","19.91578","0.00748"
"4.49400","19.91631","0.00757"
"4.50000","19.91679","0.00777"
"4.50600","19.91727","0.00784"
"4.51200","19.91781","0.00793"
"4.51800","19.91829","0.00812"
"4.52400","19.91876","0.00830"
"4.53000","19.91930","0.00841"
"4.53600","19.91978","0.00864"
"4.54200","19.92032","0.00896"
"4.54800","19.92080","0.00905"
"4.55400","19.92134","0.00916"
"4.56000","19.92181","0.00922"
"4.56600","19.92235","0.00943"
"4.57200","19.92283","0.00946"
"4.57800","19.92331","0.00937"
"4.58400","19.92379","0.00930"
"4.59000","19.92432","0.00912"
"4.59600","19.92480","0.00885"
"4.60200","19.92528","0.00877"
"4.60800","19.92576","0.00867"
"4.61400","19.92630","0.00879"
"4.62000","19.92677","0.00895"
"4.62600","19.92731","0.00926"
"4.63200","19.92779","0.00956"
"4.63800","19.92833","0.00952"
"4.64400","19.92881","0.00938"
"4.65000","19.92929","0.00925"
"4.65600","19.92982","0.00901"
"4.66200","19.93030","0.00890"
"4.66800","19.93084","0.00895"
"4.67400","19.93132","0.00909"
"4.68000","19.93186","0.00930"
"4.68600","19.93239","0.00948"
"4.69200","19.93287","0.00950"
"4.69800","19.93341","0.00942"
"4.70400","19.93389","0.00941"
"4.71000","19.93437","0.00927"
"4.71600","19.93491","0.00918"
"4.72200","19.93538","0.00932"
"4.72800","19.93586","0.00935"
"4.73400","19.93634","0.00932"
"4.74000","19.93688","0.00918"
"4.74600","19.93736","0.00908"
"4.75200","19.93784","0.00907"
"4.75800","19.93831","0.00916"
"4.76400","19.93885","0.00909"
"4.77000","19.93933","0.00897"
"4.77600","19.93987","0.00894"
"4.78200","19.94035","0.00900"
"4.78800","19.94082","0.00885"
"4.79400","19.94136","0.00886"
"4.80000","19.94184","0.00884"
"4.80600","19.94238","0.00874"
"4.81200","19.94286","0.00866"
"4.81800","19.94340","0.00861"
"4.82400","19.94387","0.00843"
"4.83000","19.94441","0.00837"
"4.83600","19.94489","0.00849"
"4.84200","19.94537","0.00859"
"4.84800","19.94591","0.00859"
"4.85400","19.94639","0.00871"
"4.86000","19.94686","0.00872"
"4.86600","19.94740","0.00869"
"4.87200","19.94788","0.00853"
"4.87800","19.94836","0.00832"
"4.88400","19.94884","0.00823"
