End date,"1/7/2017"
Specimen label,"DT18_41"
Maximum Load,"0.02543",N

Time,Extension,Load
(s),(mm),(N)
"1.09200","0.09124","0.00025"
"1.09800","0.09178","0.00010"
"1.10400","0.09226","0.00006"
"1.11000","0.09273","0.00012"
"1.11600","0.09327","0.00010"
"1.12200","0.09375","-0.00002"
"1.12800","0.09423","-0.00006"
"1.13400","0.09471","-0.00010"
"1.14000","0.09524","-0.00015"
"1.14600","0.09572","-0.00016"
"1.15200","0.09620","-0.00015"
"1.15800","0.09674","0.00001"
"1.16400","0.09722","0.00009"
"1.17000","0.09776","0.00012"
"1.17600","0.09823","0.00019"
"1.18200","0.09877","0.00025"
"1.18800","0.09925","0.00028"
"1.19400","0.09979","0.00031"
"1.20000","0.10027","0.00033"
"1.20600","0.10081","0.00040"
"1.21200","0.10128","0.00047"
"1.21800","0.10176","0.00057"
"1.22400","0.10230","0.00070"
"1.23000","0.10278","0.00073"
"1.23600","0.10326","0.00066"
"1.24200","0.10379","0.00060"
"1.24800","0.10427","0.00045"
"1.25400","0.10475","0.00031"
"1.26000","0.10529","0.00030"
"1.26600","0.10577","0.00037"
"1.27200","0.10625","0.00043"
"1.27800","0.10672","0.00046"
"1.28400","0.10726","0.00039"
"1.29000","0.10774","0.00042"
"1.29600","0.10822","0.00044"
"1.30200","0.10876","0.00035"
"1.30800","0.10924","0.00020"
"1.31400","0.10971","0.00016"
"1.32000","0.11019","0.00007"
"1.32600","0.11073","0.00012"
"1.33200","0.11121","0.00023"
"1.33800","0.11169","0.00039"
"1.34400","0.11222","0.00053"
"1.35000","0.11270","0.00058"
"1.35600","0.11324","0.00062"
"1.36200","0.11372","0.00059"
"1.36800","0.11420","0.00053"
"1.37400","0.11468","0.00051"
"1.38000","0.11521","0.00052"
"1.38600","0.11569","0.00048"
"1.39200","0.11617","0.00053"
"1.39800","0.11671","0.00046"
"1.40400","0.11719","0.00037"
"1.41000","0.11767","0.00022"
"1.41600","0.11820","0.00002"
"1.42200","0.11868","-0.00013"
"1.42800","0.11916","-0.00020"
"1.43400","0.11970","-0.00015"
"1.44000","0.12018","0.00009"
"1.44600","0.12072","0.00033"
"1.45200","0.12119","0.00039"
"1.45800","0.12167","0.00045"
"1.46400","0.12221","0.00056"
"1.47000","0.12269","0.00064"
"1.47600","0.12323","0.00071"
"1.48200","0.12370","0.00066"
"1.48800","0.12424","0.00060"
"1.49400","0.12472","0.00058"
"1.50000","0.12526","0.00066"
"1.50600","0.12574","0.00075"
"1.51200","0.12622","0.00075"
"1.51800","0.12675","0.00055"
"1.52400","0.12723","0.00046"
"1.53000","0.12771","0.00046"
"1.53600","0.12825","0.00042"
"1.54200","0.12873","0.00048"
"1.54800","0.12921","0.00046"
"1.55400","0.12974","0.00036"
"1.56000","0.13022","0.00031"
"1.56600","0.13070","0.00022"
"1.57200","0.13124","0.00018"
"1.57800","0.13172","0.00015"
"1.58400","0.13225","0.00010"
"1.59000","0.13273","0.00012"
"1.59600","0.13327","0.00018"
"1.60200","0.13375","0.00033"
"1.60800","0.13429","0.00045"
"1.61400","0.13477","0.00045"
"1.62000","0.13524","0.00041"
"1.62600","0.13578","0.00047"
"1.63200","0.13626","0.00052"
"1.63800","0.13674","0.00052"
"1.64400","0.13728","0.00054"
"1.65000","0.13776","0.00052"
"1.65600","0.13823","0.00056"
"1.66200","0.13877","0.00055"
"1.66800","0.13925","0.00044"
"1.67400","0.13973","0.00037"
"1.68000","0.14027","0.00042"
"1.68600","0.14074","0.00038"
"1.69200","0.14128","0.00042"
"1.69800","0.14176","0.00043"
"1.70400","0.14224","0.00032"
"1.71000","0.14272","0.00023"
"1.71600","0.14326","0.00017"
"1.72200","0.14373","0.00020"
"1.72800","0.14427","0.00026"
"1.73400","0.14475","0.00028"
"1.74000","0.14529","0.00033"
"1.74600","0.14577","0.00033"
"1.75200","0.14625","0.00032"
"1.75800","0.14678","0.00041"
"1.76400","0.14726","0.00049"
"1.77000","0.14774","0.00044"
"1.77600","0.14828","0.00039"
"1.78200","0.14876","0.00034"
"1.78800","0.14923","0.00023"
"1.79400","0.14977","0.00017"
"1.80000","0.15025","0.00009"
"1.80600","0.15079","0.00007"
"1.81200","0.15127","0.00007"
"1.81800","0.15175","0.00011"
"1.82400","0.15228","0.00019"
"1.83000","0.15276","0.00018"
"1.83600","0.15324","0.00003"
"1.84200","0.15372","-0.00001"
"1.84800","0.15426","0.00004"
"1.85400","0.15474","0.00014"
"1.86000","0.15527","0.00014"
"1.86600","0.15575","0.00007"
"1.87200","0.15623","-0.00001"
"1.87800","0.15671","-0.00010"
"1.88400","0.15725","-0.00003"
"1.89000","0.15772","0.00020"
"1.89600","0.15820","0.00034"
"1.90200","0.15874","0.00028"
"1.90800","0.15922","0.00018"
"1.91400","0.15970","0.00016"
"1.92000","0.16024","0.00012"
"1.92600","0.16071","0.00014"
"1.93200","0.16119","0.00018"
"1.93800","0.16173","0.00031"
"1.94400","0.16221","0.00051"
"1.95000","0.16275","0.00062"
"1.95600","0.16323","0.00078"
"1.96200","0.16370","0.00085"
"1.96800","0.16424","0.00080"
"1.97400","0.16472","0.00080"
"1.98000","0.16520","0.00085"
"1.98600","0.16574","0.00082"
"1.99200","0.16621","0.00071"
"1.99800","0.16669","0.00064"
"2.00400","0.16723","0.00062"
"2.01000","0.16771","0.00065"
"2.01600","0.16825","0.00060"
"2.02200","0.16873","0.00058"
"2.02800","0.16926","0.00055"
"2.03400","0.16974","0.00039"
"2.04000","0.17028","0.00027"
"2.04600","0.17076","0.00027"
"2.05200","0.17124","0.00026"
"2.05800","0.17172","0.00035"
"2.06400","0.17225","0.00045"
"2.07000","0.17273","0.00049"
"2.07600","0.17321","0.00043"
"2.08200","0.17375","0.00043"
"2.08800","0.17423","0.00048"
"2.09400","0.17476","0.00056"
"2.10000","0.17524","0.00061"
"2.10600","0.17572","0.00073"
"2.11200","0.17626","0.00085"
"2.11800","0.17674","0.00083"
"2.12400","0.17728","0.00068"
"2.13000","0.17775","0.00062"
"2.13600","0.17829","0.00054"
"2.14200","0.17877","0.00053"
"2.14800","0.17925","0.00053"
"2.15400","0.17979","0.00057"
"2.16000","0.18027","0.00058"
"2.16600","0.18080","0.00062"
"2.17200","0.18128","0.00070"
"2.17800","0.18176","0.00085"
"2.18400","0.18224","0.00094"
"2.19000","0.18272","0.00105"
"2.19600","0.18325","0.00105"
"2.20200","0.18373","0.00096"
"2.20800","0.18427","0.00083"
"2.21400","0.18475","0.00065"
"2.22000","0.18523","0.00047"
"2.22600","0.18577","0.00037"
"2.23200","0.18624","0.00020"
"2.23800","0.18678","0.00010"
"2.24400","0.18726","0.00011"
"2.25000","0.18780","0.00019"
"2.25600","0.18828","0.00033"
"2.26200","0.18876","0.00043"
"2.26800","0.18929","0.00057"
"2.27400","0.18977","0.00071"
"2.28000","0.19031","0.00079"
"2.28600","0.19079","0.00071"
"2.29200","0.19133","0.00059"
"2.29800","0.19180","0.00035"
"2.30400","0.19228","0.00008"
"2.31000","0.19282","-0.00006"
"2.31600","0.19330","-0.00012"
"2.32200","0.19378","-0.00017"
"2.32800","0.19426","-0.00021"
"2.33400","0.19479","-0.00021"
"2.34000","0.19527","-0.00018"
"2.34600","0.19575","-0.00022"
"2.35200","0.19629","-0.00022"
"2.35800","0.19677","-0.00012"
"2.36400","0.19725","-0.00009"
"2.37000","0.19778","-0.00005"
"2.37600","0.19826","0.00014"
"2.38200","0.19880","0.00040"
"2.38800","0.19928","0.00060"
"2.39400","0.19976","0.00078"
"2.40000","0.20024","0.00099"
"2.40600","0.20071","0.00113"
"2.41200","0.20125","0.00115"
"2.41800","0.20173","0.00105"
"2.42400","0.20221","0.00094"
"2.43000","0.20269","0.00074"
"2.43600","0.20316","0.00053"
"2.44200","0.20370","0.00043"
"2.44800","0.20418","0.00051"
"2.45400","0.20466","0.00071"
"2.46000","0.20520","0.00082"
"2.46600","0.20568","0.00084"
"2.47200","0.20615","0.00091"
"2.47800","0.20669","0.00097"
"2.48400","0.20717","0.00089"
"2.49000","0.20771","0.00087"
"2.49600","0.20819","0.00081"
"2.50200","0.20873","0.00067"
"2.50800","0.20920","0.00046"
"2.51400","0.20968","0.00035"
"2.52000","0.21022","0.00025"
"2.52600","0.21070","0.00027"
"2.53200","0.21124","0.00031"
"2.53800","0.21171","0.00021"
"2.54400","0.21225","0.00019"
"2.55000","0.21273","0.00022"
"2.55600","0.21321","0.00038"
"2.56200","0.21375","0.00055"
"2.56800","0.21423","0.00059"
"2.57400","0.21470","0.00062"
"2.58000","0.21524","0.00063"
"2.58600","0.21572","0.00061"
"2.59200","0.21620","0.00068"
"2.59800","0.21674","0.00069"
"2.60400","0.21722","0.00067"
"2.61000","0.21769","0.00067"
"2.61600","0.21823","0.00066"
"2.62200","0.21871","0.00065"
"2.62800","0.21925","0.00064"
"2.63400","0.21973","0.00057"
"2.64000","0.22026","0.00061"
"2.64600","0.22074","0.00061"
"2.65200","0.22128","0.00051"
"2.65800","0.22176","0.00035"
"2.66400","0.22230","0.00026"
"2.67000","0.22278","0.00012"
"2.67600","0.22325","0.00002"
"2.68200","0.22379","0.00008"
"2.68800","0.22427","0.00016"
"2.69400","0.22475","0.00025"
"2.70000","0.22523","0.00032"
"2.70600","0.22577","0.00047"
"2.71200","0.22624","0.00061"
"2.71800","0.22672","0.00071"
"2.72400","0.22720","0.00092"
"2.73000","0.22774","0.00112"
"2.73600","0.22822","0.00124"
"2.74200","0.22869","0.00130"
"2.74800","0.22923","0.00135"
"2.75400","0.22971","0.00145"
"2.76000","0.23019","0.00153"
"2.76600","0.23073","0.00145"
"2.77200","0.23121","0.00125"
"2.77800","0.23174","0.00102"
"2.78400","0.23222","0.00082"
"2.79000","0.23276","0.00071"
"2.79600","0.23324","0.00067"
"2.80200","0.23378","0.00058"
"2.80800","0.23432","0.00049"
"2.81400","0.23479","0.00040"
"2.82000","0.23527","0.00031"
"2.82600","0.23581","0.00033"
"2.83200","0.23629","0.00037"
"2.83800","0.23677","0.00052"
"2.84400","0.23724","0.00064"
"2.85000","0.23778","0.00069"
"2.85600","0.23826","0.00077"
"2.86200","0.23874","0.00087"
"2.86800","0.23922","0.00083"
"2.87400","0.23976","0.00085"
"2.88000","0.24023","0.00085"
"2.88600","0.24077","0.00081"
"2.89200","0.24125","0.00074"
"2.89800","0.24173","0.00073"
"2.90400","0.24221","0.00075"
"2.91000","0.24275","0.00072"
"2.91600","0.24322","0.00067"
"2.92200","0.24370","0.00070"
"2.92800","0.24424","0.00071"
"2.93400","0.24472","0.00068"
"2.94000","0.24520","0.00070"
"2.94600","0.24573","0.00074"
"2.95200","0.24621","0.00075"
"2.95800","0.24675","0.00078"
"2.96400","0.24723","0.00086"
"2.97000","0.24771","0.00099"
"2.97600","0.24819","0.00110"
"2.98200","0.24872","0.00116"
"2.98800","0.24920","0.00110"
"2.99400","0.24968","0.00106"
"3.00000","0.25016","0.00103"
"3.00600","0.25064","0.00114"
"3.01200","0.25118","0.00123"
"3.01800","0.25165","0.00128"
"3.02400","0.25213","0.00133"
"3.03000","0.25267","0.00131"
"3.03600","0.25315","0.00114"
"3.04200","0.25369","0.00102"
"3.04800","0.25417","0.00098"
"3.05400","0.25464","0.00095"
"3.06000","0.25512","0.00090"
"3.06600","0.25566","0.00090"
"3.07200","0.25614","0.00098"
"3.07800","0.25668","0.00096"
"3.08400","0.25715","0.00084"
"3.09000","0.25763","0.00080"
"3.09600","0.25817","0.00090"
"3.10200","0.25865","0.00088"
"3.10800","0.25919","0.00079"
"3.11400","0.25967","0.00072"
"3.12000","0.26020","0.00074"
"3.12600","0.26068","0.00076"
"3.13200","0.26122","0.00070"
"3.13800","0.26170","0.00072"
