End date,"1/7/2017"
Specimen label,"18_CTNT2"
Maximum Load,"0.07079",N

Time,Extension,Load
(s),(mm),(N)
"1.06200","0.08867","-0.00011"
"1.06800","0.08921","0.00000"
"1.07400","0.08968","0.00016"
"1.08000","0.09016","0.00020"
"1.08600","0.09070","0.00025"
"1.09200","0.09118","0.00033"
"1.09800","0.09172","0.00038"
"1.10400","0.09220","0.00030"
"1.11000","0.09267","0.00014"
"1.11600","0.09321","0.00005"
"1.12200","0.09369","0.00007"
"1.12800","0.09423","0.00004"
"1.13400","0.09471","-0.00002"
"1.14000","0.09524","0.00003"
"1.14600","0.09572","0.00008"
"1.15200","0.09620","0.00007"
"1.15800","0.09674","0.00010"
"1.16400","0.09722","0.00011"
"1.17000","0.09776","0.00009"
"1.17600","0.09823","0.00014"
"1.18200","0.09877","0.00012"
"1.18800","0.09925","0.00005"
"1.19400","0.09973","0.00003"
"1.20000","0.10027","0.00011"
"1.20600","0.10075","0.00022"
"1.21200","0.10122","0.00027"
"1.21800","0.10176","0.00028"
"1.22400","0.10224","0.00045"
"1.23000","0.10272","0.00057"
"1.23600","0.10326","0.00058"
"1.24200","0.10373","0.00054"
"1.24800","0.10421","0.00060"
"1.25400","0.10475","0.00051"
"1.26000","0.10523","0.00044"
"1.26600","0.10577","0.00035"
"1.27200","0.10625","0.00029"
"1.27800","0.10672","0.00029"
"1.28400","0.10720","0.00020"
"1.29000","0.10768","0.00012"
"1.29600","0.10816","0.00004"
"1.30200","0.10870","0.00003"
"1.30800","0.10918","0.00016"
"1.31400","0.10965","0.00026"
"1.32000","0.11019","0.00015"
"1.32600","0.11067","0.00009"
"1.33200","0.11115","0.00009"
"1.33800","0.11169","0.00010"
"1.34400","0.11217","0.00007"
"1.35000","0.11270","0.00008"
"1.35600","0.11318","0.00020"
"1.36200","0.11366","0.00023"
"1.36800","0.11420","0.00020"
"1.37400","0.11468","0.00027"
"1.38000","0.11521","0.00031"
"1.38600","0.11569","0.00031"
"1.39200","0.11617","0.00038"
"1.39800","0.11671","0.00038"
"1.40400","0.11719","0.00033"
"1.41000","0.11773","0.00030"
"1.41600","0.11820","0.00031"
"1.42200","0.11868","0.00031"
"1.42800","0.11922","0.00028"
"1.43400","0.11970","0.00020"
"1.44000","0.12018","0.00020"
"1.44600","0.12072","0.00020"
"1.45200","0.12119","0.00027"
"1.45800","0.12167","0.00038"
"1.46400","0.12221","0.00040"
"1.47000","0.12269","0.00029"
"1.47600","0.12317","0.00009"
"1.48200","0.12370","-0.00013"
"1.48800","0.12418","-0.00021"
"1.49400","0.12466","-0.00007"
"1.50000","0.12514","0.00004"
"1.50600","0.12568","0.00017"
"1.51200","0.12616","0.00024"
"1.51800","0.12669","0.00026"
"1.52400","0.12717","0.00024"
"1.53000","0.12765","0.00016"
"1.53600","0.12813","0.00009"
"1.54200","0.12867","0.00009"
"1.54800","0.12915","0.00012"
"1.55400","0.12968","0.00011"
"1.56000","0.13016","0.00019"
"1.56600","0.13064","0.00023"
"1.57200","0.13118","0.00012"
"1.57800","0.13166","-0.00002"
"1.58400","0.13213","-0.00011"
"1.59000","0.13261","-0.00015"
"1.59600","0.13315","-0.00021"
"1.60200","0.13363","-0.00020"
"1.60800","0.13411","-0.00003"
"1.61400","0.13459","0.00021"
"1.62000","0.13512","0.00030"
"1.62600","0.13560","0.00029"
"1.63200","0.13608","0.00025"
"1.63800","0.13662","0.00018"
"1.64400","0.13710","0.00010"
"1.65000","0.13764","0.00003"
"1.65600","0.13811","0.00001"
"1.66200","0.13865","-0.00006"
"1.66800","0.13913","-0.00007"
