End date,"1/7/2017"
Specimen label,"18CT_45"
Maximum Load,"0.05629",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00041"
"0.00600","0.00000","-0.00058"
"0.01200","0.00000","-0.00068"
"0.01800","0.00018","-0.00059"
"0.02400","0.00024","-0.00043"
"0.03000","0.00036","-0.00029"
"0.03600","0.00054","-0.00025"
"0.04200","0.00072","-0.00021"
"0.04800","0.00090","-0.00019"
"0.05400","0.00114","-0.00021"
"0.06000","0.00143","-0.00011"
"0.06600","0.00173","0.00008"
"0.07200","0.00209","0.00028"
"0.07800","0.00245","0.00041"
"0.08400","0.00281","0.00051"
"0.09000","0.00329","0.00045"
"0.09600","0.00371","0.00043"
"0.10200","0.00419","0.00039"
"0.10800","0.00466","0.00031"
"0.11400","0.00520","0.00027"
"0.12000","0.00574","0.00012"
"0.12600","0.00628","0.00004"
"0.13200","0.00688","0.00003"
"0.13800","0.00747","-0.00006"
"0.14400","0.00807","-0.00028"
"0.15000","0.00867","-0.00030"
"0.15600","0.00933","-0.00025"
"0.16200","0.00993","-0.00020"
"0.16800","0.01058","-0.00011"
"0.17400","0.01124","-0.00004"
"0.18000","0.01190","0.00011"
"0.18600","0.01256","0.00013"
"0.19200","0.01321","0.00015"
"0.19800","0.01387","0.00025"
"0.20400","0.01453","0.00027"
"0.21000","0.01519","0.00029"
"0.21600","0.01584","0.00035"
"0.22200","0.01650","0.00025"
"0.22800","0.01716","0.00017"
"0.23400","0.01776","0.00015"
"0.24000","0.01842","0.00014"
"0.24600","0.01907","0.00017"
"0.25200","0.01967","0.00020"
"0.25800","0.02027","0.00034"
"0.26400","0.02093","0.00053"
"0.27000","0.02152","0.00062"
"0.27600","0.02212","0.00052"
"0.28200","0.02272","0.00044"
"0.28800","0.02332","0.00037"
"0.29400","0.02392","0.00024"
"0.30000","0.02445","0.00021"
"0.30600","0.02505","0.00012"
"0.31200","0.02565","-0.00004"
"0.31800","0.02625","-0.00014"
"0.32400","0.02679","-0.00007"
"0.33000","0.02732","-0.00006"
"0.33600","0.02792","-0.00006"
"0.34200","0.02846","0.00001"
"0.34800","0.02900","0.00018"
"0.35400","0.02948","0.00027"
"0.36000","0.03007","0.00026"
"0.36600","0.03055","0.00035"
"0.37200","0.03109","0.00041"
"0.37800","0.03163","0.00042"
"0.38400","0.03211","0.00047"
"0.39000","0.03265","0.00043"
"0.39600","0.03312","0.00040"
"0.40200","0.03366","0.00047"
"0.40800","0.03420","0.00044"
"0.41400","0.03468","0.00039"
"0.42000","0.03522","0.00037"
"0.42600","0.03569","0.00045"
"0.43200","0.03617","0.00056"
"0.43800","0.03671","0.00053"
"0.44400","0.03719","0.00041"
"0.45000","0.03773","0.00044"
"0.45600","0.03821","0.00042"
"0.46200","0.03874","0.00040"
"0.46800","0.03922","0.00050"
"0.47400","0.03970","0.00050"
"0.48000","0.04018","0.00057"
"0.48600","0.04066","0.00063"
"0.49200","0.04119","0.00057"
"0.49800","0.04167","0.00048"
"0.50400","0.04215","0.00034"
"0.51000","0.04269","0.00031"
"0.51600","0.04317","0.00031"
"0.52200","0.04365","0.00030"
"0.52800","0.04412","0.00041"
"0.53400","0.04466","0.00063"
"0.54000","0.04514","0.00073"
"0.54600","0.04562","0.00073"
"0.55200","0.04616","0.00080"
"0.55800","0.04664","0.00087"
"0.56400","0.04711","0.00100"
"0.57000","0.04765","0.00102"
"0.57600","0.04813","0.00093"
"0.58200","0.04867","0.00079"
"0.58800","0.04915","0.00057"
"0.59400","0.04969","0.00039"
"0.60000","0.05016","0.00028"
"0.60600","0.05070","0.00018"
"0.61200","0.05118","0.00019"
"0.61800","0.05166","0.00028"
"0.62400","0.05220","0.00031"
"0.63000","0.05267","0.00032"
"0.63600","0.05315","0.00032"
"0.64200","0.05369","0.00039"
"0.64800","0.05417","0.00064"
"0.65400","0.05471","0.00075"
"0.66000","0.05519","0.00084"
"0.66600","0.05572","0.00095"
"0.67200","0.05620","0.00089"
"0.67800","0.05668","0.00077"
"0.68400","0.05722","0.00071"
"0.69000","0.05770","0.00070"
"0.69600","0.05818","0.00068"
"0.70200","0.05865","0.00066"
"0.70800","0.05919","0.00069"
"0.71400","0.05967","0.00073"
"0.72000","0.06021","0.00065"
"0.72600","0.06069","0.00059"
"0.73200","0.06116","0.00061"
"0.73800","0.06170","0.00056"
"0.74400","0.06218","0.00048"
"0.75000","0.06266","0.00052"
"0.75600","0.06320","0.00057"
"0.76200","0.06368","0.00050"
"0.76800","0.06415","0.00048"
"0.77400","0.06463","0.00049"
"0.78000","0.06517","0.00059"
"0.78600","0.06565","0.00069"
"0.79200","0.06613","0.00073"
"0.79800","0.06667","0.00069"
"0.80400","0.06714","0.00056"
"0.81000","0.06768","0.00047"
"0.81600","0.06816","0.00051"
"0.82200","0.06870","0.00052"
"0.82800","0.06918","0.00052"
"0.83400","0.06965","0.00057"
"0.84000","0.07019","0.00064"
"0.84600","0.07067","0.00071"
"0.85200","0.07121","0.00065"
"0.85800","0.07169","0.00061"
"0.86400","0.07217","0.00070"
"0.87000","0.07270","0.00069"
"0.87600","0.07318","0.00064"
"0.88200","0.07366","0.00079"
"0.88800","0.07420","0.00089"
"0.89400","0.07468","0.00089"
"0.90000","0.07522","0.00092"
"0.90600","0.07569","0.00091"
"0.91200","0.07623","0.00086"
"0.91800","0.07671","0.00077"
"0.92400","0.07719","0.00077"
"0.93000","0.07773","0.00081"
"0.93600","0.07820","0.00090"
"0.94200","0.07874","0.00089"
"0.94800","0.07922","0.00090"
"0.95400","0.07970","0.00094"
"0.96000","0.08018","0.00093"
"0.96600","0.08072","0.00097"
"0.97200","0.08119","0.00106"
"0.97800","0.08167","0.00110"
"0.98400","0.08221","0.00104"
"0.99000","0.08269","0.00095"
"0.99600","0.08317","0.00085"
"1.00200","0.08371","0.00083"
"1.00800","0.08418","0.00082"
"1.01400","0.08466","0.00082"
"1.02000","0.08520","0.00086"
"1.02600","0.08568","0.00092"
"1.03200","0.08616","0.00101"
"1.03800","0.08669","0.00100"
"1.04400","0.08717","0.00116"
"1.05000","0.08765","0.00143"
"1.05600","0.08813","0.00163"
"1.06200","0.08861","0.00164"
"1.06800","0.08915","0.00158"
"1.07400","0.08962","0.00139"
"1.08000","0.09010","0.00122"
"1.08600","0.09064","0.00105"
"1.09200","0.09112","0.00089"
"1.09800","0.09160","0.00076"
"1.10400","0.09214","0.00065"
"1.11000","0.09261","0.00063"
"1.11600","0.09309","0.00081"
"1.12200","0.09363","0.00093"
"1.12800","0.09411","0.00101"
"1.13400","0.09465","0.00106"
"1.14000","0.09513","0.00101"
"1.14600","0.09566","0.00094"
"1.15200","0.09614","0.00078"
"1.15800","0.09668","0.00066"
"1.16400","0.09716","0.00064"
"1.17000","0.09770","0.00064"
"1.17600","0.09817","0.00072"
"1.18200","0.09871","0.00083"
"1.18800","0.09919","0.00087"
"1.19400","0.09967","0.00090"
"1.20000","0.10021","0.00102"
"1.20600","0.10069","0.00110"
"1.21200","0.10116","0.00111"
"1.21800","0.10170","0.00116"
