End date,"1/7/2017"
Specimen label,"18DT_44"
Maximum Load,"0.20391",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09178","0.00063"
"1.10400","0.09232","0.00060"
"1.11000","0.09279","0.00061"
"1.11600","0.09327","0.00072"
"1.12200","0.09381","0.00085"
"1.12800","0.09429","0.00097"
"1.13400","0.09477","0.00108"
"1.14000","0.09530","0.00115"
"1.14600","0.09578","0.00110"
"1.15200","0.09632","0.00096"
"1.15800","0.09680","0.00078"
"1.16400","0.09728","0.00071"
"1.17000","0.09782","0.00071"
"1.17600","0.09829","0.00082"
"1.18200","0.09877","0.00109"
"1.18800","0.09931","0.00121"
"1.19400","0.09979","0.00119"
"1.20000","0.10027","0.00122"
"1.20600","0.10075","0.00133"
"1.21200","0.10122","0.00133"
"1.21800","0.10170","0.00121"
"1.22400","0.10224","0.00107"
"1.23000","0.10272","0.00089"
"1.23600","0.10320","0.00070"
"1.24200","0.10373","0.00070"
"1.24800","0.10421","0.00072"
"1.25400","0.10469","0.00071"
"1.26000","0.10523","0.00070"
"1.26600","0.10571","0.00067"
"1.27200","0.10619","0.00058"
"1.27800","0.10672","0.00047"
"1.28400","0.10720","0.00046"
"1.29000","0.10774","0.00061"
"1.29600","0.10822","0.00070"
"1.30200","0.10870","0.00076"
"1.30800","0.10924","0.00089"
"1.31400","0.10971","0.00097"
"1.32000","0.11025","0.00096"
"1.32600","0.11073","0.00092"
"1.33200","0.11121","0.00087"
"1.33800","0.11169","0.00080"
"1.34400","0.11217","0.00070"
"1.35000","0.11270","0.00065"
"1.35600","0.11318","0.00057"
"1.36200","0.11366","0.00055"
"1.36800","0.11420","0.00050"
"1.37400","0.11468","0.00055"
"1.38000","0.11515","0.00067"
"1.38600","0.11569","0.00074"
"1.39200","0.11617","0.00082"
"1.39800","0.11671","0.00086"
"1.40400","0.11719","0.00084"
"1.41000","0.11773","0.00078"
"1.41600","0.11820","0.00079"
"1.42200","0.11868","0.00080"
"1.42800","0.11922","0.00084"
"1.43400","0.11970","0.00081"
"1.44000","0.12018","0.00076"
"1.44600","0.12072","0.00071"
"1.45200","0.12119","0.00069"
"1.45800","0.12173","0.00075"
"1.46400","0.12221","0.00085"
"1.47000","0.12275","0.00094"
"1.47600","0.12323","0.00099"
"1.48200","0.12376","0.00101"
"1.48800","0.12424","0.00103"
"1.49400","0.12472","0.00110"
"1.50000","0.12526","0.00113"
"1.50600","0.12574","0.00115"
"1.51200","0.12628","0.00120"
"1.51800","0.12675","0.00127"
"1.52400","0.12729","0.00134"
"1.53000","0.12777","0.00138"
"1.53600","0.12825","0.00140"
"1.54200","0.12879","0.00146"
"1.54800","0.12926","0.00151"
"1.55400","0.12974","0.00151"
"1.56000","0.13028","0.00148"
"1.56600","0.13076","0.00144"
"1.57200","0.13124","0.00137"
"1.57800","0.13172","0.00128"
"1.58400","0.13225","0.00116"
"1.59000","0.13273","0.00099"
"1.59600","0.13321","0.00091"
"1.60200","0.13375","0.00087"
"1.60800","0.13423","0.00089"
"1.61400","0.13477","0.00090"
"1.62000","0.13524","0.00089"
"1.62600","0.13578","0.00087"
"1.63200","0.13626","0.00084"
"1.63800","0.13674","0.00080"
"1.64400","0.13722","0.00077"
"1.65000","0.13776","0.00082"
"1.65600","0.13823","0.00084"
"1.66200","0.13877","0.00083"
"1.66800","0.13925","0.00077"
"1.67400","0.13973","0.00078"
"1.68000","0.14027","0.00076"
"1.68600","0.14074","0.00061"
"1.69200","0.14122","0.00057"
"1.69800","0.14176","0.00061"
"1.70400","0.14224","0.00069"
"1.71000","0.14272","0.00070"
"1.71600","0.14326","0.00073"
"1.72200","0.14373","0.00077"
"1.72800","0.14421","0.00079"
"1.73400","0.14475","0.00082"
"1.74000","0.14523","0.00093"
"1.74600","0.14571","0.00106"
"1.75200","0.14625","0.00111"
"1.75800","0.14672","0.00117"
"1.76400","0.14720","0.00119"
"1.77000","0.14774","0.00110"
"1.77600","0.14822","0.00101"
"1.78200","0.14876","0.00087"
"1.78800","0.14923","0.00070"
"1.79400","0.14971","0.00061"
"1.80000","0.15025","0.00055"
"1.80600","0.15073","0.00060"
"1.81200","0.15127","0.00067"
"1.81800","0.15175","0.00073"
"1.82400","0.15222","0.00076"
"1.83000","0.15276","0.00076"
"1.83600","0.15324","0.00076"
"1.84200","0.15372","0.00083"
"1.84800","0.15420","0.00089"
"1.85400","0.15474","0.00095"
"1.86000","0.15521","0.00095"
"1.86600","0.15569","0.00099"
"1.87200","0.15623","0.00102"
"1.87800","0.15671","0.00103"
"1.88400","0.15719","0.00106"
"1.89000","0.15766","0.00114"
"1.89600","0.15820","0.00127"
"1.90200","0.15868","0.00135"
"1.90800","0.15916","0.00136"
"1.91400","0.15964","0.00137"
"1.92000","0.16018","0.00131"
"1.92600","0.16065","0.00119"
"1.93200","0.16119","0.00106"
"1.93800","0.16167","0.00090"
"1.94400","0.16221","0.00079"
"1.95000","0.16269","0.00084"
"1.95600","0.16323","0.00095"
"1.96200","0.16370","0.00107"
"1.96800","0.16424","0.00117"
"1.97400","0.16472","0.00122"
"1.98000","0.16526","0.00129"
"1.98600","0.16574","0.00127"
"1.99200","0.16621","0.00119"
"1.99800","0.16675","0.00124"
"2.00400","0.16723","0.00137"
"2.01000","0.16771","0.00139"
"2.01600","0.16825","0.00135"
"2.02200","0.16873","0.00136"
"2.02800","0.16920","0.00132"
"2.03400","0.16974","0.00135"
"2.04000","0.17022","0.00139"
"2.04600","0.17076","0.00144"
"2.05200","0.17124","0.00148"
"2.05800","0.17172","0.00148"
"2.06400","0.17225","0.00149"
"2.07000","0.17273","0.00147"
"2.07600","0.17327","0.00149"
"2.08200","0.17375","0.00153"
"2.08800","0.17429","0.00161"
"2.09400","0.17476","0.00165"
"2.10000","0.17530","0.00162"
"2.10600","0.17578","0.00153"
"2.11200","0.17632","0.00150"
"2.11800","0.17680","0.00145"
"2.12400","0.17728","0.00140"
"2.13000","0.17781","0.00140"
"2.13600","0.17829","0.00138"
"2.14200","0.17877","0.00137"
"2.14800","0.17925","0.00133"
"2.15400","0.17979","0.00133"
"2.16000","0.18027","0.00135"
"2.16600","0.18074","0.00134"
"2.17200","0.18122","0.00122"
"2.17800","0.18176","0.00114"
"2.18400","0.18224","0.00111"
"2.19000","0.18272","0.00108"
"2.19600","0.18325","0.00126"
"2.20200","0.18373","0.00149"
"2.20800","0.18421","0.00160"
"2.21400","0.18469","0.00163"
"2.22000","0.18523","0.00153"
"2.22600","0.18571","0.00139"
"2.23200","0.18624","0.00136"
"2.23800","0.18672","0.00131"
"2.24400","0.18726","0.00134"
"2.25000","0.18774","0.00140"
"2.25600","0.18828","0.00145"
"2.26200","0.18876","0.00143"
"2.26800","0.18923","0.00134"
"2.27400","0.18977","0.00137"
"2.28000","0.19025","0.00142"
"2.28600","0.19073","0.00139"
"2.29200","0.19121","0.00133"
"2.29800","0.19169","0.00128"
"2.30400","0.19216","0.00131"
"2.31000","0.19270","0.00139"
"2.31600","0.19318","0.00152"
"2.32200","0.19366","0.00162"
"2.32800","0.19420","0.00157"
"2.33400","0.19467","0.00154"
"2.34000","0.19521","0.00147"
"2.34600","0.19569","0.00141"
"2.35200","0.19617","0.00141"
"2.35800","0.19671","0.00136"
"2.36400","0.19719","0.00125"
"2.37000","0.19766","0.00108"
"2.37600","0.19820","0.00090"
"2.38200","0.19868","0.00082"
"2.38800","0.19922","0.00083"
"2.39400","0.19970","0.00087"
"2.40000","0.20024","0.00090"
"2.40600","0.20071","0.00096"
"2.41200","0.20119","0.00107"
"2.41800","0.20173","0.00121"
"2.42400","0.20221","0.00130"
"2.43000","0.20269","0.00138"
"2.43600","0.20316","0.00140"
"2.44200","0.20370","0.00131"
"2.44800","0.20418","0.00127"
"2.45400","0.20466","0.00122"
"2.46000","0.20514","0.00118"
"2.46600","0.20568","0.00117"
"2.47200","0.20615","0.00126"
"2.47800","0.20669","0.00125"
"2.48400","0.20717","0.00121"
"2.49000","0.20765","0.00111"
"2.49600","0.20819","0.00106"
"2.50200","0.20867","0.00102"
"2.50800","0.20920","0.00096"
"2.51400","0.20968","0.00095"
"2.52000","0.21022","0.00094"
"2.52600","0.21070","0.00091"
"2.53200","0.21124","0.00097"
"2.53800","0.21171","0.00108"
"2.54400","0.21225","0.00112"
"2.55000","0.21273","0.00110"
"2.55600","0.21327","0.00117"
"2.56200","0.21375","0.00122"
"2.56800","0.21423","0.00121"
"2.57400","0.21476","0.00116"
"2.58000","0.21524","0.00114"
"2.58600","0.21572","0.00116"
"2.59200","0.21626","0.00121"
"2.59800","0.21674","0.00135"
"2.60400","0.21722","0.00143"
"2.61000","0.21775","0.00138"
"2.61600","0.21823","0.00140"
"2.62200","0.21871","0.00147"
"2.62800","0.21919","0.00153"
"2.63400","0.21973","0.00142"
"2.64000","0.22020","0.00132"
"2.64600","0.22068","0.00118"
"2.65200","0.22122","0.00103"
"2.65800","0.22170","0.00094"
"2.66400","0.22224","0.00088"
"2.67000","0.22272","0.00084"
"2.67600","0.22325","0.00089"
"2.68200","0.22373","0.00103"
"2.68800","0.22427","0.00115"
"2.69400","0.22475","0.00126"
"2.70000","0.22529","0.00131"
"2.70600","0.22577","0.00139"
"2.71200","0.22624","0.00146"
"2.71800","0.22672","0.00146"
"2.72400","0.22726","0.00135"
"2.73000","0.22774","0.00126"
"2.73600","0.22822","0.00130"
"2.74200","0.22875","0.00130"
"2.74800","0.22923","0.00129"
"2.75400","0.22971","0.00120"
"2.76000","0.23019","0.00117"
"2.76600","0.23073","0.00116"
"2.77200","0.23121","0.00116"
"2.77800","0.23168","0.00120"
"2.78400","0.23216","0.00112"
"2.79000","0.23270","0.00106"
"2.79600","0.23318","0.00107"
"2.80200","0.23372","0.00111"
"2.80800","0.23420","0.00117"
"2.81400","0.23473","0.00128"
"2.82000","0.23521","0.00136"
"2.82600","0.23575","0.00140"
"2.83200","0.23623","0.00145"
"2.83800","0.23677","0.00152"
"2.84400","0.23724","0.00156"
"2.85000","0.23772","0.00166"
"2.85600","0.23820","0.00167"
"2.86200","0.23874","0.00155"
"2.86800","0.23922","0.00149"
"2.87400","0.23970","0.00158"
"2.88000","0.24017","0.00169"
"2.88600","0.24071","0.00171"
"2.89200","0.24119","0.00163"
"2.89800","0.24167","0.00154"
"2.90400","0.24221","0.00147"
"2.91000","0.24269","0.00141"
"2.91600","0.24316","0.00137"
"2.92200","0.24370","0.00139"
"2.92800","0.24418","0.00131"
"2.93400","0.24466","0.00123"
"2.94000","0.24520","0.00119"
"2.94600","0.24568","0.00113"
"2.95200","0.24615","0.00107"
"2.95800","0.24669","0.00104"
"2.96400","0.24717","0.00109"
"2.97000","0.24771","0.00107"
"2.97600","0.24819","0.00100"
"2.98200","0.24872","0.00105"
"2.98800","0.24920","0.00119"
"2.99400","0.24974","0.00131"
"3.00000","0.25022","0.00132"
"3.00600","0.25070","0.00133"
"3.01200","0.25118","0.00140"
"3.01800","0.25171","0.00144"
"3.02400","0.25219","0.00143"
"3.03000","0.25267","0.00141"
"3.03600","0.25321","0.00140"
"3.04200","0.25369","0.00143"
"3.04800","0.25417","0.00146"
"3.05400","0.25464","0.00148"
"3.06000","0.25518","0.00143"
"3.06600","0.25566","0.00142"
"3.07200","0.25620","0.00142"
"3.07800","0.25668","0.00141"
"3.08400","0.25721","0.00135"
"3.09000","0.25769","0.00136"
"3.09600","0.25823","0.00140"
"3.10200","0.25871","0.00138"
"3.10800","0.25925","0.00135"
"3.11400","0.25973","0.00143"
"3.12000","0.26026","0.00154"
"3.12600","0.26074","0.00161"
"3.13200","0.26128","0.00171"
"3.13800","0.26176","0.00177"
"3.14400","0.26224","0.00176"
"3.15000","0.26278","0.00178"
"3.15600","0.26325","0.00181"
"3.16200","0.26373","0.00184"
"3.16800","0.26427","0.00186"
"3.17400","0.26475","0.00182"
"3.18000","0.26523","0.00187"
"3.18600","0.26570","0.00198"
"3.19200","0.26624","0.00201"
"3.19800","0.26672","0.00191"
"3.20400","0.26720","0.00172"
"3.21000","0.26774","0.00154"
"3.21600","0.26822","0.00140"
"3.22200","0.26869","0.00138"
"3.22800","0.26923","0.00139"
"3.23400","0.26971","0.00143"
"3.24000","0.27025","0.00143"
"3.24600","0.27073","0.00148"
"3.25200","0.27127","0.00158"
"3.25800","0.27174","0.00167"
"3.26400","0.27222","0.00177"
"3.27000","0.27276","0.00174"
"3.27600","0.27324","0.00165"
"3.28200","0.27372","0.00165"
"3.28800","0.27425","0.00165"
"3.29400","0.27473","0.00166"
"3.30000","0.27521","0.00168"
"3.30600","0.27569","0.00167"
"3.31200","0.27623","0.00167"
"3.31800","0.27671","0.00174"
"3.32400","0.27718","0.00180"
"3.33000","0.27772","0.00176"
"3.33600","0.27820","0.00171"
