End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"1.04400","0.08729","-0.00051"
"1.05000","0.08777","-0.00054"
"1.05600","0.08825","-0.00066"
"1.06200","0.08873","-0.00082"
"1.06800","0.08921","-0.00071"
"1.07400","0.08974","-0.00056"
"1.08000","0.09022","-0.00044"
"1.08600","0.09070","-0.00031"
"1.09200","0.09124","-0.00024"
"1.09800","0.09172","-0.00031"
"1.10400","0.09220","-0.00031"
"1.11000","0.09273","-0.00039"
"1.11600","0.09321","-0.00056"
"1.12200","0.09375","-0.00073"
"1.12800","0.09423","-0.00077"
"1.13400","0.09477","-0.00068"
"1.14000","0.09524","-0.00065"
"1.14600","0.09572","-0.00067"
"1.15200","0.09626","-0.00070"
"1.15800","0.09674","-0.00075"
"1.16400","0.09722","-0.00079"
"1.17000","0.09776","-0.00073"
"1.17600","0.09823","-0.00062"
"1.18200","0.09871","-0.00057"
"1.18800","0.09925","-0.00053"
"1.19400","0.09973","-0.00051"
"1.20000","0.10021","-0.00048"
"1.20600","0.10069","-0.00034"
"1.21200","0.10122","-0.00021"
"1.21800","0.10170","-0.00007"
"1.22400","0.10224","-0.00002"
"1.23000","0.10272","-0.00007"
"1.23600","0.10320","-0.00015"
"1.24200","0.10373","-0.00021"
"1.24800","0.10421","-0.00027"
"1.25400","0.10475","-0.00030"
"1.26000","0.10523","-0.00024"
"1.26600","0.10577","-0.00022"
"1.27200","0.10625","-0.00027"
"1.27800","0.10672","-0.00038"
"1.28400","0.10720","-0.00042"
"1.29000","0.10774","-0.00040"
"1.29600","0.10822","-0.00044"
"1.30200","0.10870","-0.00052"
"1.30800","0.10918","-0.00055"
"1.31400","0.10965","-0.00061"
"1.32000","0.11013","-0.00069"
"1.32600","0.11067","-0.00063"
"1.33200","0.11115","-0.00055"
"1.33800","0.11163","-0.00053"
"1.34400","0.11217","-0.00048"
"1.35000","0.11264","-0.00036"
"1.35600","0.11312","-0.00029"
"1.36200","0.11366","-0.00023"
"1.36800","0.11414","-0.00020"
"1.37400","0.11462","-0.00023"
"1.38000","0.11515","-0.00036"
"1.38600","0.11563","-0.00053"
"1.39200","0.11617","-0.00068"
"1.39800","0.11665","-0.00073"
"1.40400","0.11719","-0.00075"
"1.41000","0.11767","-0.00075"
"1.41600","0.11820","-0.00074"
"1.42200","0.11868","-0.00063"
"1.42800","0.11922","-0.00033"
"1.43400","0.11970","-0.00017"
"1.44000","0.12024","-0.00011"
"1.44600","0.12072","-0.00011"
"1.45200","0.12119","-0.00003"
"1.45800","0.12173","0.00012"
"1.46400","0.12221","0.00011"
"1.47000","0.12269","0.00021"
"1.47600","0.12323","0.00032"
"1.48200","0.12370","0.00041"
"1.48800","0.12418","0.00037"
"1.49400","0.12472","0.00021"
"1.50000","0.12520","-0.00004"
"1.50600","0.12574","-0.00024"
"1.51200","0.12622","-0.00033"
"1.51800","0.12675","-0.00035"
"1.52400","0.12723","-0.00035"
"1.53000","0.12771","-0.00035"
"1.53600","0.12825","-0.00038"
"1.54200","0.12879","-0.00041"
"1.54800","0.12926","-0.00049"
"1.55400","0.12980","-0.00050"
"1.56000","0.13028","-0.00039"
"1.56600","0.13082","-0.00027"
"1.57200","0.13130","-0.00019"
"1.57800","0.13178","-0.00016"
"1.58400","0.13225","-0.00006"
"1.59000","0.13279","0.00000"
"1.59600","0.13327","0.00010"
"1.60200","0.13375","0.00023"
"1.60800","0.13423","0.00027"
"1.61400","0.13471","0.00023"
"1.62000","0.13524","0.00015"
"1.62600","0.13572","0.00012"
"1.63200","0.13620","0.00007"
"1.63800","0.13668","0.00000"
"1.64400","0.13722","-0.00008"
"1.65000","0.13770","-0.00006"
"1.65600","0.13817","-0.00010"
"1.66200","0.13871","-0.00020"
"1.66800","0.13919","-0.00034"
"1.67400","0.13973","-0.00037"
"1.68000","0.14021","-0.00037"
"1.68600","0.14074","-0.00030"
"1.69200","0.14122","-0.00018"
"1.69800","0.14170","-0.00022"
"1.70400","0.14224","-0.00027"
"1.71000","0.14272","-0.00033"
"1.71600","0.14320","-0.00040"
"1.72200","0.14367","-0.00046"
"1.72800","0.14421","-0.00041"
"1.73400","0.14469","-0.00029"
"1.74000","0.14517","-0.00029"
"1.74600","0.14571","-0.00044"
"1.75200","0.14619","-0.00058"
"1.75800","0.14672","-0.00062"
"1.76400","0.14720","-0.00066"
"1.77000","0.14768","-0.00069"
"1.77600","0.14822","-0.00067"
"1.78200","0.14870","-0.00059"
"1.78800","0.14917","-0.00058"
"1.79400","0.14971","-0.00061"
"1.80000","0.15019","-0.00068"
"1.80600","0.15067","-0.00076"
"1.81200","0.15121","-0.00085"
"1.81800","0.15169","-0.00087"
"1.82400","0.15216","-0.00087"
"1.83000","0.15270","-0.00084"
"1.83600","0.15318","-0.00069"
"1.84200","0.15372","-0.00056"
"1.84800","0.15420","-0.00044"
"1.85400","0.15468","-0.00040"
