End date,"1/7/2017"
Specimen label,"18AT_41"
Maximum Load,"0.04672",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00032"
"0.00600","0.00000","-0.00025"
"0.01200","0.00006","-0.00021"
"0.01800","0.00012","-0.00013"
"0.02400","0.00018","0.00003"
"0.03000","0.00030","0.00008"
"0.03600","0.00048","0.00002"
"0.04200","0.00060","-0.00011"
"0.04800","0.00084","-0.00028"
"0.05400","0.00108","-0.00032"
"0.06000","0.00132","-0.00030"
"0.06600","0.00149","-0.00033"
"0.07200","0.00191","-0.00020"
"0.07800","0.00227","-0.00002"
"0.08400","0.00269","0.00013"
"0.09000","0.00311","0.00026"
"0.09600","0.00359","0.00032"
"0.10200","0.00407","0.00027"
"0.10800","0.00454","0.00023"
"0.11400","0.00508","0.00015"
"0.12000","0.00556","0.00012"
"0.12600","0.00616","0.00019"
"0.13200","0.00670","0.00026"
"0.13800","0.00729","0.00047"
"0.14400","0.00789","0.00070"
"0.15000","0.00855","0.00077"
"0.15600","0.00915","0.00093"
"0.16200","0.00981","0.00106"
"0.16800","0.01046","0.00117"
"0.17400","0.01106","0.00128"
"0.18000","0.01172","0.00130"
"0.18600","0.01238","0.00140"
"0.19200","0.01303","0.00155"
"0.19800","0.01369","0.00166"
"0.20400","0.01435","0.00175"
"0.21000","0.01501","0.00181"
"0.21600","0.01566","0.00183"
"0.22200","0.01632","0.00194"
"0.22800","0.01698","0.00209"
"0.23400","0.01764","0.00217"
"0.24000","0.01824","0.00215"
"0.24600","0.01889","0.00212"
"0.25200","0.01955","0.00213"
"0.25800","0.02015","0.00224"
"0.26400","0.02081","0.00227"
"0.27000","0.02140","0.00235"
"0.27600","0.02200","0.00252"
"0.28200","0.02260","0.00258"
"0.28800","0.02320","0.00265"
"0.29400","0.02380","0.00278"
"0.30000","0.02439","0.00280"
"0.30600","0.02499","0.00282"
"0.31200","0.02553","0.00288"
"0.31800","0.02613","0.00298"
"0.32400","0.02667","0.00309"
"0.33000","0.02720","0.00313"
"0.33600","0.02780","0.00323"
"0.34200","0.02834","0.00331"
"0.34800","0.02888","0.00328"
"0.35400","0.02942","0.00336"
"0.36000","0.02995","0.00350"
"0.36600","0.03055","0.00362"
"0.37200","0.03109","0.00379"
"0.37800","0.03157","0.00389"
"0.38400","0.03211","0.00391"
"0.39000","0.03265","0.00404"
"0.39600","0.03318","0.00418"
"0.40200","0.03366","0.00432"
"0.40800","0.03420","0.00440"
"0.41400","0.03468","0.00441"
