End date,"1/7/2017"
Specimen label,"17CT_33"
Maximum Load,"0.18647",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00042"
"0.00600","0.00000","-0.00039"
"0.01200","0.00000","-0.00032"
"0.01800","0.00012","-0.00031"
"0.02400","0.00018","-0.00041"
"0.03000","0.00030","-0.00046"
"0.03600","0.00042","-0.00046"
"0.04200","0.00060","-0.00048"
"0.04800","0.00084","-0.00039"
"0.05400","0.00102","-0.00025"
"0.06000","0.00132","-0.00013"
"0.06600","0.00155","-0.00012"
"0.07200","0.00191","-0.00017"
"0.07800","0.00227","-0.00018"
"0.08400","0.00263","-0.00017"
"0.09000","0.00305","0.00002"
"0.09600","0.00347","0.00021"
"0.10200","0.00395","0.00035"
"0.10800","0.00442","0.00039"
"0.11400","0.00496","0.00037"
"0.12000","0.00550","0.00035"
"0.12600","0.00610","0.00040"
"0.13200","0.00670","0.00035"
"0.13800","0.00729","0.00027"
"0.14400","0.00789","0.00017"
"0.15000","0.00849","0.00009"
"0.15600","0.00915","0.00005"
"0.16200","0.00975","-0.00001"
"0.16800","0.01040","-0.00008"
"0.17400","0.01106","-0.00005"
"0.18000","0.01172","0.00011"
"0.18600","0.01238","0.00026"
"0.19200","0.01303","0.00018"
"0.19800","0.01369","0.00005"
"0.20400","0.01441","0.00001"
"0.21000","0.01507","0.00007"
"0.21600","0.01572","0.00010"
"0.22200","0.01644","0.00018"
"0.22800","0.01710","0.00028"
"0.23400","0.01776","0.00018"
"0.24000","0.01842","0.00003"
"0.24600","0.01901","0.00004"
"0.25200","0.01967","0.00012"
"0.25800","0.02027","0.00012"
"0.26400","0.02093","0.00007"
"0.27000","0.02146","0.00009"
"0.27600","0.02212","0.00011"
"0.28200","0.02272","-0.00001"
"0.28800","0.02332","-0.00020"
"0.29400","0.02392","-0.00026"
"0.30000","0.02445","-0.00017"
"0.30600","0.02505","-0.00010"
"0.31200","0.02565","-0.00001"
"0.31800","0.02619","0.00005"
"0.32400","0.02679","0.00003"
"0.33000","0.02732","-0.00007"
"0.33600","0.02792","-0.00014"
"0.34200","0.02846","-0.00018"
"0.34800","0.02900","-0.00016"
"0.35400","0.02954","-0.00009"
"0.36000","0.03007","-0.00010"
"0.36600","0.03061","-0.00017"
"0.37200","0.03115","-0.00015"
"0.37800","0.03169","-0.00015"
"0.38400","0.03217","-0.00009"
"0.39000","0.03270","0.00007"
"0.39600","0.03318","0.00034"
"0.40200","0.03372","0.00055"
"0.40800","0.03420","0.00053"
"0.41400","0.03474","0.00054"
"0.42000","0.03522","0.00051"
"0.42600","0.03569","0.00043"
"0.43200","0.03623","0.00035"
"0.43800","0.03671","0.00040"
"0.44400","0.03725","0.00040"
"0.45000","0.03773","0.00042"
"0.45600","0.03827","0.00036"
"0.46200","0.03874","0.00035"
"0.46800","0.03928","0.00032"
"0.47400","0.03976","0.00034"
"0.48000","0.04030","0.00033"
"0.48600","0.04078","0.00021"
"0.49200","0.04131","0.00001"
"0.49800","0.04179","-0.00018"
