End date,"1/7/2017"
Specimen label,"18CT_NT1"
Maximum Load,"0.01610",N

Time,Extension,Load
(s),(mm),(N)
"1.07400","0.08974","0.00044"
"1.08000","0.09028","0.00037"
"1.08600","0.09076","0.00033"
"1.09200","0.09124","0.00022"
"1.09800","0.09172","0.00009"
"1.10400","0.09220","0.00012"
"1.11000","0.09273","0.00017"
"1.11600","0.09321","0.00013"
"1.12200","0.09369","0.00004"
"1.12800","0.09423","0.00001"
"1.13400","0.09471","-0.00004"
"1.14000","0.09518","-0.00004"
"1.14600","0.09572","-0.00010"
"1.15200","0.09620","-0.00006"
"1.15800","0.09674","-0.00009"
"1.16400","0.09722","-0.00024"
"1.17000","0.09776","-0.00033"
"1.17600","0.09823","-0.00039"
"1.18200","0.09871","-0.00042"
"1.18800","0.09925","-0.00035"
"1.19400","0.09973","-0.00019"
"1.20000","0.10027","-0.00005"
"1.20600","0.10075","0.00003"
"1.21200","0.10122","-0.00001"
"1.21800","0.10176","-0.00004"
"1.22400","0.10224","-0.00015"
"1.23000","0.10272","-0.00033"
"1.23600","0.10320","-0.00043"
"1.24200","0.10373","-0.00044"
"1.24800","0.10421","-0.00038"
"1.25400","0.10469","-0.00022"
"1.26000","0.10523","-0.00005"
"1.26600","0.10571","-0.00002"
"1.27200","0.10619","0.00002"
"1.27800","0.10666","0.00017"
"1.28400","0.10714","0.00034"
"1.29000","0.10768","0.00049"
"1.29600","0.10816","0.00061"
"1.30200","0.10864","0.00072"
"1.30800","0.10912","0.00071"
"1.31400","0.10965","0.00053"
"1.32000","0.11013","0.00039"
"1.32600","0.11067","0.00029"
"1.33200","0.11115","0.00017"
"1.33800","0.11169","0.00002"
"1.34400","0.11217","-0.00009"
"1.35000","0.11264","-0.00003"
"1.35600","0.11318","0.00003"
"1.36200","0.11366","-0.00004"
"1.36800","0.11414","-0.00009"
"1.37400","0.11468","-0.00004"
"1.38000","0.11515","0.00008"
"1.38600","0.11563","0.00017"
"1.39200","0.11611","0.00017"
"1.39800","0.11665","0.00015"
"1.40400","0.11713","0.00021"
"1.41000","0.11761","0.00030"
"1.41600","0.11814","0.00031"
"1.42200","0.11862","0.00029"
"1.42800","0.11910","0.00039"
"1.43400","0.11964","0.00055"
"1.44000","0.12012","0.00064"
"1.44600","0.12066","0.00065"
"1.45200","0.12113","0.00062"
"1.45800","0.12167","0.00060"
"1.46400","0.12215","0.00063"
"1.47000","0.12269","0.00064"
"1.47600","0.12317","0.00050"
"1.48200","0.12370","0.00033"
"1.48800","0.12418","0.00036"
"1.49400","0.12472","0.00044"
"1.50000","0.12520","0.00034"
"1.50600","0.12574","0.00023"
"1.51200","0.12622","0.00003"
"1.51800","0.12669","-0.00016"
"1.52400","0.12723","-0.00030"
"1.53000","0.12771","-0.00040"
"1.53600","0.12819","-0.00028"
"1.54200","0.12873","-0.00010"
"1.54800","0.12921","0.00012"
"1.55400","0.12968","0.00028"
"1.56000","0.13022","0.00042"
"1.56600","0.13070","0.00047"
"1.57200","0.13124","0.00039"
"1.57800","0.13172","0.00031"
"1.58400","0.13219","0.00031"
"1.59000","0.13273","0.00027"
"1.59600","0.13321","0.00018"
"1.60200","0.13375","0.00016"
"1.60800","0.13423","0.00006"
"1.61400","0.13471","-0.00006"
"1.62000","0.13524","-0.00017"
"1.62600","0.13572","-0.00015"
"1.63200","0.13626","-0.00018"
"1.63800","0.13674","-0.00019"
"1.64400","0.13722","-0.00026"
"1.65000","0.13770","-0.00031"
"1.65600","0.13823","-0.00038"
"1.66200","0.13871","-0.00041"
"1.66800","0.13919","-0.00036"
"1.67400","0.13967","-0.00016"
"1.68000","0.14021","-0.00001"
"1.68600","0.14068","0.00014"
"1.69200","0.14116","0.00037"
"1.69800","0.14170","0.00035"
"1.70400","0.14218","0.00025"
"1.71000","0.14266","0.00020"
"1.71600","0.14320","0.00000"
"1.72200","0.14367","-0.00007"
"1.72800","0.14415","0.00005"
"1.73400","0.14469","0.00009"
"1.74000","0.14517","0.00007"
"1.74600","0.14571","-0.00002"
"1.75200","0.14619","0.00001"
"1.75800","0.14672","0.00007"
"1.76400","0.14720","0.00011"
"1.77000","0.14774","0.00022"
"1.77600","0.14822","0.00028"
"1.78200","0.14876","0.00039"
"1.78800","0.14923","0.00043"
"1.79400","0.14971","0.00042"
"1.80000","0.15025","0.00030"
"1.80600","0.15073","0.00021"
"1.81200","0.15121","0.00018"
"1.81800","0.15169","0.00027"
"1.82400","0.15222","0.00034"
"1.83000","0.15270","0.00023"
"1.83600","0.15318","0.00018"
"1.84200","0.15366","0.00016"
"1.84800","0.15420","0.00016"
"1.85400","0.15468","0.00016"
"1.86000","0.15515","0.00024"
"1.86600","0.15569","0.00045"
"1.87200","0.15617","0.00050"
"1.87800","0.15665","0.00045"
"1.88400","0.15719","0.00044"
"1.89000","0.15766","0.00052"
"1.89600","0.15820","0.00052"
"1.90200","0.15868","0.00049"
"1.90800","0.15922","0.00051"
"1.91400","0.15970","0.00038"
"1.92000","0.16018","0.00027"
"1.92600","0.16071","0.00017"
"1.93200","0.16119","0.00015"
"1.93800","0.16167","0.00012"
"1.94400","0.16215","0.00013"
"1.95000","0.16269","0.00018"
"1.95600","0.16317","0.00019"
"1.96200","0.16364","0.00011"
"1.96800","0.16412","0.00005"
"1.97400","0.16460","0.00006"
"1.98000","0.16514","0.00003"
"1.98600","0.16562","-0.00002"
"1.99200","0.16610","-0.00003"
"1.99800","0.16663","-0.00008"
"2.00400","0.16711","-0.00019"
"2.01000","0.16759","-0.00020"
"2.01600","0.16813","-0.00021"
"2.02200","0.16861","-0.00017"
"2.02800","0.16914","-0.00002"
"2.03400","0.16968","0.00003"
"2.04000","0.17016","0.00003"
"2.04600","0.17070","0.00000"
"2.05200","0.17118","0.00007"
"2.05800","0.17172","0.00021"
"2.06400","0.17219","0.00043"
"2.07000","0.17273","0.00069"
