"Ptime","Pload","Vtime","Vload"
137.778,0.30844,137.82,0.29218
156.624,0.42033,156.666,0.40482
161.46,0.42296,161.508,0.33212
161.514,0.33503,161.526,0.32847
161.544,0.33491,161.55,0.33148
161.592,0.33759,161.598,0.33453
217.014,0.97675,217.062,0.95464
229.422,1.14352,229.488,0.63786
282.522,1.85058,282.6,1.81979
290.358,2.05197,290.43,1.83677
293.838,1.95618,293.976,1.23045
294.054,1.24619,294.126,0.81661
294.132,0.81707,294.144,0.81402
297.366,0.86323,297.426,0.71668
297.438,0.72332,297.45,0.71295
309.87,1.01513,309.924,0.87097
309.93,0.87093,309.942,0.86435
312.384,0.91543,312.462,0.26671
312.474,0.27963,312.486,0.26598
312.498,0.27492,312.51,0.25979
312.516,0.2644,312.528,0.25712
312.582,0.26398,312.594,0.25661
312.612,0.26536,312.654,0.23994
315.696,0.34516,315.756,0.31668
316.95,0.37284,317.01,0.34588
317.256,0.37912,317.316,0.35501
335.454,0.82311,335.526,0.63923
335.532,0.63813,335.556,0.62568
345.39,0.90612,345.456,0.76731
345.516,0.77325,345.564,0.74392
345.732,0.74846,345.786,0.65727
345.792,0.65612,345.804,0.64976
350.07,0.73487,350.136,0.39606
350.142,0.39705,350.148,0.39344
356.718,0.55141,356.79,0.38989
356.796,0.39295,356.808,0.38594
372.642,0.65853,372.708,0.47848
372.714,0.48014,372.726,0.47604
382.776,0.63183,382.842,0.31672
384.558,0.37033,384.606,0.3516
398.448,0.57432,398.502,0.5483
403.272,0.58127,403.314,0.48114
403.32,0.48026,403.332,0.47112
403.344,0.47369,403.35,0.4692
418.11,0.61796,418.17,0.55618
448.542,0.60032,448.62,0.259
448.638,0.26588,448.644,0.26239
448.782,0.27345,448.794,0.26632
453.24,0.28665,453.312,-0.02495
453.324,-0.01811,453.336,-0.03079
453.48,-0.01171,453.504,-0.02215
