"Ptime","Pload","Vtime","Vload"
133.278,0.06673,133.326,0.02351
133.332,0.02292,133.35,0.01942
133.578,0.02308,133.59,0.02105
226.134,0.08695,226.152,0.08342
258.654,0.0941,258.672,0.08902
295.53,0.11336,295.572,0.0948
308.724,0.12737,308.754,0.11998
308.88,0.10934,308.946,0.04225
334.65,0.0784,334.722,0.03064
334.806,0.04103,334.83,0.03622
369.018,0.07202,369.09,0.00939
394.518,0.01046,394.542,-0.00456
394.71,0.02941,394.746,-0.01895
395.034,0.01406,395.058,0.00735
395.388,0.01311,395.412,0.00774
395.592,0.01379,395.616,0.00866
395.862,0.01312,395.874,0.01075
