"Ptime","Pload","Vtime","Vload"
177.048,0.5568,177.09,0.54077
180.414,0.56639,180.462,0.54149
229.068,0.97886,229.128,0.91206
269.712,1.33726,269.748,1.3176
272.196,1.3453,272.238,1.32665
283.554,1.48782,283.602,1.47082
287.592,1.54837,287.646,1.42992
287.652,1.43088,287.658,1.42348
287.67,1.42916,287.676,1.42471
292.272,1.4908,292.326,1.44009
303.516,1.60068,303.588,1.42133
303.654,1.42592,303.66,1.42151
313.422,1.56083,313.578,0.23618
313.584,0.24082,313.596,0.22346
315.852,0.2957,315.912,0.26468
316.158,0.29246,316.212,0.27092
