"Ptime","Pload","Vtime","Vload"
78.36,0.12042,78.384,0.11306
97.236,0.18457,97.29,0.13538
97.308,0.14064,97.32,0.1381
97.338,0.14178,97.35,0.13943
97.368,0.14225,97.38,0.13864
97.404,0.14169,97.416,0.13811
97.434,0.1405,97.446,0.1385
99.558,0.13849,99.606,-0.00788
99.624,0.00461,99.642,-0.01502
100.128,-0.00139,100.146,-0.00588
100.428,0.00025,100.44,-0.00272
100.764,-0.00316,100.776,-0.00584
100.86,-0.00239,100.872,-0.00522
100.956,-0.00232,100.968,-0.00499
101.244,-0.00165,101.256,-0.00377
101.532,0.00375,101.556,-0.00239
