"Ptime","Pload","Vtime","Vload"
222.348,0.14631,222.414,-0.00866
222.504,0.01321,222.522,0.00619
222.54,0.01462,222.558,0.00843
222.576,0.0129,222.6,0.00405
222.618,0.01122,222.636,0.0061
222.654,0.01013,222.672,0.00545
222.69,0.00583,222.708,0.00301
222.876,0.00789,222.894,0.00486
224.664,0.0142,224.676,0.01177
225.834,0.01243,225.858,0.00729
225.966,0.01266,225.99,0.00745
226.578,0.0093,226.59,0.00694
227.142,0.01555,227.172,0.00817
227.754,0.01277,227.778,0.00782
231.264,0.01384,231.294,0.00736
