"Ptime","Pload","Vtime","Vload"
129.162,0.11299,129.21,0.00441
129.222,0.00963,129.246,-0.01184
129.348,0.00873,129.372,-0.00173
254.472,0.12205,254.538,0.00804
254.55,0.0144,254.568,-2e-04
254.628,0.0174,254.652,0.00921
254.946,0.02788,254.976,0.0163
359.328,0.11586,359.394,0.05764
378.096,0.16317,378.156,0.14103
395.274,0.25206,395.328,0.20599
401.988,0.24596,402.018,0.22426
422.796,0.27282,422.856,0.24444
422.916,0.23598,422.964,0.02679
422.97,0.03033,422.994,0.00749
423.12,0.03899,423.156,0.02197
423.222,0.03198,423.24,0.01882
423.258,0.02215,423.282,0.01249
423.342,0.02024,423.36,0.01084
423.462,0.0247,423.48,0.01715
