"Ptime","Pload","Vtime","Vload"
116.862,0.0901,116.916,0.05378
123.816,0.0934,123.84,0.0847
142.998,0.25506,143.076,0.17423
144.456,0.19809,144.522,0.15131
154.866,0.30839,154.932,0.25205
173.874,0.48351,173.928,0.41219
174.078,0.41285,174.162,0.11857
174.174,0.12541,174.18,0.12232
182.862,0.20296,182.91,0.18793
193.746,0.22671,193.806,0.10111
193.818,0.10605,193.83,0.09815
193.842,0.10264,193.86,0.0952
194.28,0.08214,194.304,0.07077
194.31,0.07013,194.364,0.04613
194.37,0.04591,194.388,0.03906
268.77,0.30895,268.836,0.06992
268.848,0.07275,268.866,0.06008
278.922,0.13623,278.964,0.01377
278.97,0.01398,278.994,-0.01117
279.114,0.01185,279.132,0.00605
