"Ptime","Pload","Vtime","Vload"
193.344,0.06583,193.392,0.01275
193.404,0.01611,193.422,0.00758
193.446,0.01379,193.464,0.00704
193.488,0.01185,193.5,0.0094
193.524,0.01383,193.548,0.00669
193.566,0.01061,193.584,0.00616
193.74,0.01125,193.752,0.00884
193.854,0.01056,193.872,0.00739
193.896,0.01033,193.914,0.00714
193.938,0.00899,193.956,0.00589
247.692,0.04713,247.722,0.03996
282.102,0.09689,282.144,0.03847
282.156,0.03914,282.168,0.03308
282.438,0.05125,282.456,0.04656
283.32,0.04261,283.362,0.01
283.38,0.01164,283.404,0.00066
283.422,0.00644,283.44,0.00211
283.548,0.00869,283.566,0.00236
283.722,0.00895,283.734,0.00458
283.794,0.01065,283.818,0.00534
283.836,0.0052,283.86,0.00064
283.884,0.00367,283.902,-3e-04
283.926,0.00212,283.944,-0.00097
284.226,0.00567,284.244,0.00022
284.352,0.00866,284.364,0.0061
284.436,0.01011,284.454,0.00573
284.472,0.00375,284.484,0.00128
285.576,0.00754,285.588,0.00529
362.706,0.02339,362.724,0.0181
383.28,0.02804,383.304,0.01872
383.37,0.02069,383.382,0.01793
383.442,0.02112,383.46,0.01819
383.484,0.01933,383.496,0.01664
383.688,0.01967,383.718,0.00121
383.742,0.00229,383.76,-0.00258
383.826,0.00194,383.838,-1e-04
383.868,0.00277,383.886,-0.00096
383.952,0.00408,383.97,6e-05
383.994,0.00387,384.012,-6e-05
384.378,0.0054,384.396,0.00237
