"Ptime","Pload","Vtime","Vload"
274.56,0.1264,274.68,0.07037
274.686,0.06933,274.71,0.06239
289.47,0.13474,289.542,-0.00242
289.626,0.01968,289.644,0.00655
289.662,0.01485,289.68,0.00561
289.77,0.01577,289.782,0.00999
289.806,0.01444,289.818,0.01053
289.836,0.01548,289.854,0.01181
289.872,0.01587,289.884,0.01254
289.908,0.0148,289.92,0.01178
289.944,0.0148,289.956,0.01193
289.98,0.01469,289.992,0.01221
360.942,0.02939,360.972,0.01621
360.99,0.01438,361.002,0.01137
437.616,0.03865,437.634,0.03428
461.856,0.04836,461.91,0.02348
462.096,0.02361,462.12,0.01868
463.686,0.01166,463.698,0.00929
898.092,0.01804,898.116,0.01291
953.934,0.01147,953.952,0.00692
978.672,0.01612,978.69,0.01084
996.138,0.02135,996.162,0.01627
996.24,0.01006,996.258,0.0049
