"Ptime","Pload","Vtime","Vload"
245.142,0.46947,245.172,0.45784
277.302,0.73977,277.374,0.54395
278.292,0.53976,278.352,0.51176
285.054,0.5738,285.126,0.31614
298.968,0.40811,299.022,0.37096
324.246,0.50316,324.294,0.38893
324.3,0.38955,324.318,0.38107
347.256,0.49158,347.316,0.28962
347.328,0.29243,347.34,0.28165
347.358,0.294,347.37,0.28593
347.412,0.293,347.424,0.28842
384.84,0.47158,384.888,0.45063
399.222,0.51345,399.294,0.02178
399.312,0.0435,399.33,0.03382
399.414,0.06321,399.438,0.04948
399.456,0.05557,399.474,0.04799
399.492,0.05167,399.516,0.03952
399.954,0.06642,400.032,0.03535
464.934,0.16057,464.976,0.02416
464.982,0.02632,465.006,-0.00087
465.102,0.02927,465.126,0.01244
465.144,0.02342,465.162,0.01206
465.336,0.03355,465.36,0.02431
