"Ptime","Pload","Vtime","Vload"
193.026,0.16197,193.062,0.11282
193.068,0.11255,193.092,0.10232
193.11,0.10898,193.122,0.10527
193.146,0.10889,193.158,0.1053
193.248,0.10792,193.26,0.10576
193.284,0.10676,193.296,0.1046
218.298,0.19265,218.334,0.14469
218.34,0.1456,218.358,0.13328
218.376,0.13972,218.394,0.13244
218.412,0.14103,218.43,0.13444
218.448,0.14204,218.46,0.13763
218.484,0.14275,218.496,0.13796
218.514,0.14203,218.532,0.1364
218.55,0.13991,218.568,0.13523
218.586,0.13832,218.598,0.13439
218.622,0.1367,218.634,0.13278
218.652,0.13615,218.67,0.1328
218.688,0.13585,218.7,0.13322
218.724,0.13608,218.736,0.13305
218.76,0.13568,218.772,0.13322
218.862,0.13992,218.874,0.13776
254.232,0.21482,254.28,-0.02599
255.534,0.00253,255.546,0.00024
