"Ptime","Pload","Vtime","Vload"
249.312,0.31648,249.372,0.09955
249.384,0.10919,249.402,0.09199
249.414,0.10022,249.432,0.08717
249.444,0.09412,249.456,0.08515
249.528,0.09916,249.546,0.08789
288.948,0.20871,289.014,0.06528
289.02,0.06524,289.038,0.05458
289.05,0.05974,289.068,0.0526
289.14,0.05406,289.158,0.04725
326.91,0.18471,326.97,0.07244
344.676,0.12417,344.724,0.10852
416.448,0.05009,416.472,0.03727
471.312,0.15117,471.378,-0.00893
471.426,0.01667,471.444,0.00317
471.492,0.0154,471.504,0.01191
487.962,0.04693,488.028,-0.0044
488.1,0.00221,488.118,-0.00496
644.946,0.08001,644.976,0.06786
690.126,0.18112,690.186,-0.0239
690.204,-0.00181,690.222,-0.01873
690.27,0.00313,690.288,-0.01184
690.306,0.00282,690.324,-0.0097
690.336,0.00147,690.354,-0.00779
690.372,0.00335,690.384,-0.00424
690.402,0.00288,690.42,-0.00388
690.438,0.00269,690.45,-0.00365
