"Ptime","Pload","Vtime","Vload"
152.946,0.0193,152.976,0.00626
210.654,0.0753,210.714,0.0559
225.486,0.08132,225.534,0.05971
276.102,0.11405,276.138,0.01358
276.144,0.01518,276.162,-0.00932
276.18,0.00797,276.198,-0.00554
276.252,0.0097,276.27,-0.00286
276.318,0.00813,276.336,-0.00028
276.354,0.00895,276.372,0.00051
276.39,0.00893,276.408,0.00148
276.426,0.00814,276.438,0.00268
476.904,0.0027,476.946,-0.01845
477.528,0.01882,477.606,-0.02459
477.87,0.08523,477.9,0.0603
478.062,0.19094,478.116,0.14883
479.862,0.3084,479.934,0.17725
480.57,0.31879,480.642,0.14597
483.504,-0.10091,483.648,-0.25852
