"Ptime","Pload","Vtime","Vload"
57.66,0.06492,57.69,0.052
73.344,0.08073,73.368,0.06682
82.548,0.0845,82.584,0.06427
93.696,0.08857,93.726,0.0693
100.632,0.08507,100.668,0.05297
171.312,0.32821,171.366,0.14379
171.384,0.15782,171.396,0.1499
235.476,0.42852,235.53,0.40541
243.762,0.4502,243.804,0.42338
254.22,0.46121,254.286,0.1183
254.292,0.12133,254.316,0.0963
255.732,0.11105,255.78,0.08934
256.59,0.13608,256.68,0.0979
292.296,0.40796,292.338,0.39491
304.872,0.52062,304.95,0.41848
310.992,0.4885,311.058,0.44621
311.154,0.44356,311.226,0.38127
311.328,0.38537,311.364,0.35769
311.574,0.35453,311.658,0.29036
311.988,0.27626,312.066,-0.00818
383.514,0.52656,383.604,0.19445
400.71,0.41601,400.752,0.3563
407.094,0.41539,407.136,0.39848
413.1,0.46762,413.148,0.45077
420.636,0.51192,420.678,0.46666
420.684,0.46564,420.696,0.46048
422.082,0.45966,422.154,0.37677
426.702,0.39513,426.744,0.36888
451.692,0.55579,451.734,0.52449
453.702,0.53107,453.756,0.36978
453.762,0.36948,453.78,0.35613
453.792,0.36265,453.798,0.35826
453.84,0.3616,453.852,0.35634
453.864,0.36003,453.876,0.35515
453.888,0.35748,453.9,0.35278
460.89,0.41558,460.938,0.34723
476.826,0.46543,476.88,0.36002
476.886,0.3624,476.898,0.35555
476.91,0.35907,476.922,0.35439
486.168,0.41285,486.24,0.0541
486.246,0.05505,486.264,0.03621
486.312,0.05998,486.33,0.04042
486.348,0.04629,486.366,0.03695
486.384,0.04417,486.396,0.03603
501,0.14275,501.06,0.10469
510.912,0.14957,510.954,0.04943
510.96,0.0484,510.984,0.02267
511.002,0.03839,511.014,0.03003
511.23,0.0817,511.254,0.07399
511.26,0.07391,511.284,0.06283
511.29,0.06241,511.314,0.05345
553.434,0.12032,553.476,-0.00282
553.488,0.00341,553.506,-0.0208
