"Ptime","Pload","Vtime","Vload"
175.854,1.47574,175.908,1.4324
175.92599,1.4306,175.98599,1.34453
181.554,1.47265,181.62,1.24229
182.922,1.23932,182.964,1.20624
215.202,2.14043,215.26801,2.00412
216.408,2.02092,216.468,1.88169
216.474,1.88126,216.48,1.87791
219.342,1.93515,219.414,1.33184
227.57401,1.56855,227.646,1.19016
245.688,1.70237,245.778,1.42301
266.31601,2.1724,266.48999,1.87984
274.98599,2.236,275.04599,2.13913
282.54001,2.3994,282.62399,1.08036
293.91,1.62643,293.98199,1.51204
295.03799,1.52598,295.104,1.38095
311.17801,2.09143,311.25,1.90013
314.082,1.97938,314.16599,1.85796
314.19601,1.85224,314.25,1.81602
325.21799,2.24879,325.29599,2.12683
325.38,2.12517,325.44601,2.03812
326.17801,2.03991,326.24399,1.91359
326.41199,1.91056,326.478,1.84739
328.17599,1.92056,328.23599,1.81086
328.40399,1.82417,328.47,1.7146
328.55399,1.71848,328.65601,1.54333
334.61401,1.73287,334.668,1.68311
334.96799,1.68153,335.04001,1.53301
343.84201,1.82201,343.914,1.74068
347.97,1.84054,348.048,1.59473
354.108,1.70095,354.19199,1.32458
354.26999,1.33553,354.29401,1.32661
367.866,1.64084,367.974,1.05414
383.09399,1.37163,383.15399,1.30906
389.634,1.44045,389.71799,0.98006
389.89801,1.00412,389.93399,0.98837
391.29001,1.02558,391.362,0.97675
404.39401,1.30243,404.45999,1.24209
410.74799,1.33715,410.82599,0.50202
419.34601,0.69718,419.39999,0.5634
420.48599,0.58938,420.54599,0.47179
448.78201,0.78818,448.84201,0.58768
448.84799,0.58943,448.854,0.58576
470.83801,0.84216,470.89801,0.58002
470.90399,0.5794,470.91,0.57414
502.92599,0.91826,503.01001,0.80544
513.06,0.9358,513.138,0.58353
513.14398,0.58398,513.15002,0.57825
513.216,0.59135,513.24597,0.57722
536.646,0.84618,536.72998,0.23315
536.80798,0.28278,536.84399,0.27
565.88397,0.59275,565.94397,0.53312
581.448,0.67711,581.51398,0.53051
604.51202,0.79426,604.59003,0.63224
605.44202,0.61653,605.53802,0.1857
605.88599,0.21122,605.94,0.17726
606.90002,0.22409,606.98999,0.18533
