"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
289.458,0.1264,274.68,0.07037,0.05603,"n",NA
274.686,0.06933,274.71,0.06239,0.00694,"n",NA
289.47,0.13474,289.542,0,0.13716,"y","1"
289.626,0.01968,289.644,0.00655,0.01313,"n",NA
289.662,0.01485,289.68,0.00561,0.00924,"n",NA
289.77,0.01577,289.782,0.00999,0.00578,"n",NA
289.806,0.01444,289.818,0.01053,0.00391,"n",NA
289.836,0.01548,289.854,0.01181,0.00367,"n",NA
289.872,0.01587,289.884,0.01254,0.00333,"n",NA
289.908,0.0148,289.92,0.01178,0.00302,"n",NA
289.944,0.0148,289.956,0.01193,0.00287,"n",NA
289.98,0.01469,289.992,0.01221,0.00248,"n",NA
360.942,0.02939,360.972,0.01621,0.01318,"y","1"
360.99,0.01438,361.002,0.01137,0.00301,"n",NA
437.616,0.03865,437.634,0.03428,0.00437,"y","1"
461.856,0.04836,461.91,0.02348,0.02488,"y","1"
462.096,0.02361,462.12,0.01868,0.00493,"n",NA
463.686,0.01166,463.698,0.00929,0.00237,"n",NA
898.092,0.01804,898.116,0.01291,0.00513,"n",NA
953.934,0.01147,953.952,0.00692,0.00455,"n",NA
978.672,0.01612,978.69,0.01084,0.00528,"n",NA
996.138,0.02135,996.162,0.01627,0.00508,"y","1"
996.24,0.01006,996.258,0.0049,0.00516,"y","1"
