"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
214.17,0.69685,214.25999,0.59604,0.10081,"y","1"
214.272,0.59641,214.284,0.58923,0.00717999999999996,"n",NA
228.62399,0.73555,228.666,0.69156,0.0439900000000001,"y","1"
236.17799,0.77675,236.226,0.69767,0.07908,"y","1"
236.23199,0.69788,236.244,0.69192,0.00595999999999997,"n",NA
240.168,0.74092,240.216,0.71967,0.02125,"y","1"
260.51401,0.93404,260.57999,0.72539,0.20865,"y","1"
260.59201,0.73333,260.59799,0.7287,0.00463000000000002,"n",NA
264.31201,0.7772,264.35999,0.75726,0.01994,"y","1"
266.142,0.78188,266.19,0.75966,0.02222,"y","1"
266.27399,0.75379,266.35199,0.67282,0.08097,"y","1"
266.36401,0.67201,266.42401,0.40567,0.26634,"y","1"
266.436,0.41385,266.448,0.40523,0.00862000000000002,"n",NA
266.48999,0.41823,266.50201,0.41362,0.00461,"n",NA
323.328,1.06353,323.40601,0.89296,0.17057,"y","1"
323.418,0.89951,323.42401,0.89624,0.00327,"n",NA
337.75201,1.12722,337.806,1.0832,0.0440200000000002,"y","1"
345.366,1.20269,345.40799,1.18114,0.02155,"y","1"
350.814,1.27248,350.862,1.24085,0.03163,"y","1"
372.78,1.63092,372.84601,1.44964,0.18128,"y","1"
373.03201,1.02762,373.03799,1.02376,0.00385999999999997,"n",NA
373.04999,1.02557,373.06201,1.01167,0.0139,"n",NA
373.06799,1.01979,373.07999,1.00599,0.0138,"n",NA
373.09201,1.01041,373.104,0.99986,0.0105500000000001,"n",NA
373.12799,1.00157,373.14001,0.99433,0.00724000000000002,"n",NA
373.15201,1.00121,373.15799,0.99745,0.00375999999999999,"n",NA
373.95599,1.003,374.004,0.89936,0.10364,"y","1"
374.01001,0.89904,374.022,0.88834,0.0106999999999999,"n",NA
374.08801,0.90023,374.10001,0.89668,0.00354999999999994,"n",NA
374.13,0.89374,374.142,0.88857,0.00517000000000001,"n",NA
374.14801,0.88886,374.16,0.8851,0.00375999999999999,"n",NA
374.42401,0.89554,374.53201,0.77287,0.12267,"y","1"
374.62799,0.79541,374.64001,0.78754,0.00786999999999993,"n",NA
374.646,0.78649,374.664,0.78103,0.00546000000000002,"n",NA
396.67801,0.60386,396.68399,0.59203,0.01183,"n",NA
396.74399,0.58466,396.75601,0.57528,0.00937999999999994,"n",NA
396.76199,0.57571,396.78,0.56303,0.01268,"n",NA
396.87601,0.55886,396.92401,0.40882,0.15004,"y","1"
396.936,0.41436,396.94199,0.40981,0.00455,"n",NA
397.008,0.42195,397.026,0.41294,0.00901000000000002,"n",NA
410.11801,0.57912,410.16599,0.44462,0.1345,"y","1"
410.17801,0.44694,410.19,0.43748,0.00946000000000002,"n",NA
410.202,0.4467,410.21399,0.4404,0.00629999999999997,"n",NA
410.30399,0.44725,410.31,0.44394,0.00330999999999998,"n",NA
475.10999,1.35436,475.164,1.31167,0.0426900000000001,"y","1"
487.04999,1.50842,487.10999,1.20976,0.29866,"y","1"
487.116,1.21513,487.12799,1.20932,0.00581000000000009,"n",NA
487.134,1.21601,487.146,1.21078,0.00523000000000007,"n",NA
487.92599,0.59393,487.93799,0.5855,0.00842999999999994,"n",NA
488.16599,0.59211,488.18399,0.58587,0.00624000000000002,"n",NA
488.40601,0.62755,488.436,0.60796,0.0195900000000001,"n",NA
488.68201,0.64295,488.71201,0.62461,0.01834,"n",NA
488.71799,0.6242,488.754,0.60357,0.0206299999999999,"n",NA
489.57599,0.65233,489.642,0.62306,0.02927,"n",NA
490.746,0.67698,490.806,0.64937,0.02761,"n",NA
491.32199,0.68722,491.38199,0.66326,0.0239600000000001,"n",NA
492.186,0.69922,492.23999,0.67764,0.0215799999999999,"n",NA
496.62601,0.78387,496.686,0.7601,0.02377,"n",NA
