"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
175.326,0.06574,99.078,0.05342,0.01232,"n",NA
105.174,0.07259,105.204,0.06116,0.01143,"y","1"
105.51,0.04624,105.534,0.03473,0.01151,"y","1"
130.056,0.09342,130.092,0.07366,0.01976,"y","1"
175.326,0.35752,175.392,0.2278,0.12972,"y","1"
184.122,0.29976,184.176,0.23135,0.06841,"y","1"
187.872,0.24568,187.944,0.06438,0.1813,"y","1"
187.956,0.07081,187.974,0.06487,0.00594,"n",NA
188.088,0.07415,188.106,0.06791,0.00624,"n",NA
188.184,0.07259,188.202,0.0655,0.00709,"n",NA
188.316,0.07764,188.334,0.07106,0.00658,"n",NA
218.652,0.30567,218.712,0.22373,0.08194,"y","1"
241.56,0.3886,241.608,0.32496,0.06364,"y","1"
250.512,0.38117,250.566,0.19809,0.18308,"y","1"
250.572,0.19756,250.59,0.18746,0.0101,"n",NA
266.622,0.30958,266.67,0,0.31461,"y","1"
266.682,0.01894,266.706,0,0.04761,"n",NA
266.964,0.02484,266.988,0.01586,0.00898,"n",NA
