"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
590.526,0.01893,90.768,0.01453,0.0044,"n",NA
230.52,0.01361,230.532,0.01111,0.0025,"n",NA
337.482,0.0277,337.5,0.02255,0.00515,"y","1"
341.01,0.02371,341.04,0.01447,0.00924,"y","1"
558.894,0.04964,558.93,0.03183,0.01781,"y","1"
558.942,0.03146,558.96,0.02801,0.00345,"n",NA
590.562,0.05453,590.604,0.00963,0.0449,"y","1"
590.622,0.01601,590.64,0.00744,0.00857,"n",NA
590.79,0.01562,590.802,0.01284,0.00278,"n",NA
601.422,0.027,601.44,0.0222,0.0048,"y","1"
627.786,0.03449,627.822,0.01064,0.02385,"y","1"
627.84,0.01303,627.858,0.00627,0.00676,"n",NA
628.056,0.01158,628.068,0.00875,0.00283,"n",NA
628.536,0.0137,628.554,0.01005,0.00365,"n",NA
628.584,0.01146,628.596,0.00931,0.00215,"n",NA
