"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
50.358,0.05842,50.394,0.00736,0.05106,"y","1"
50.406,0.01345,50.424,0.00235,0.0111,"n",NA
50.52,0.01744,50.532,0.01157,0.00587,"n",NA
50.652,0.02742,50.676,0.02177,0.00565,"n",NA
51.192,0.03157,51.246,0.02017,0.0114,"n",NA
102.438,0.05513,102.468,0.01417,0.04096,"y","1"
102.48,0.01785,102.498,0.00539,0.01246,"n",NA
102.516,0.01298,102.534,0.00629,0.00669,"n",NA
102.552,0.01248,102.57,0.00614,0.00634,"n",NA
102.594,0.01134,102.612,0.00485,0.00649,"n",NA
