"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
211.734,0.0396,211.764,0.02098,0.01862,"y","1"
211.788,0.02332,211.806,0.01885,0.00447,"n",NA
211.986,0.02369,212.004,0.02048,0.00321,"n",NA
212.028,0.02382,212.046,0.0206,0.00322,"n",NA
212.118,0.02391,212.13,0.02168,0.00223,"n",NA
227.966,0.03059,227.984,0.02511,0.00548,"y","1"
257.68,0.04309,257.704,0.03677,0.00632000000000001,"y","1"
265.612,0.03846,265.636,0.02746,0.011,"y","1"
330.632,0.03024,330.656,0.0177,0.01254,"y","1"
330.68,0.01864,330.692,0.01624,0.0024,"n",NA
393.524,0.02381,393.548,0.01688,0.00693,"y","1"
472.208,0.03096,472.226,0.02423,0.00673,"n",NA
