"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","12/26/2016",""
"3",2,"Specimen label","11BG_81_2_run2",""
"4",3,"Maximum Load","0.05442","N"
"5",4,"Time","Extension","Load"
