"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","1/7/2017",""
"3",2,"Specimen label","17CT_33",""
"4",3,"Maximum Load","0.18647","N"
"5",4,"Time","Extension","Load"
