"Ptime","Pload","Vtime","Vload","yDelta"
102.156,0.39878,102.156,0.35152,0.04726
102.42,0.34301,102.42,0.26952,0.07349
106.992,0.28773,106.992,0.19339,0.09434
114.576,0.28637,114.576,0.16381,0.12256
143.658,0.46498,143.658,0.40741,0.05757
166.44,0.62636,166.44,0.5858,0.04056
179.37,0.72695,179.37,0.62172,0.10523
181.65,0.61436,181.65,0.55972,0.05464
196.914,0.66782,196.914,0.61613,0.05169
209.412,0.69893,209.412,0.6222,0.0767300000000001
209.7,0.6204,209.7,0.57068,0.04972
217.188,0.60616,217.188,0.31229,0.29387
249,0.48919,249,0.42942,0.05977
259.404,0.4874,259.404,0.05017,0.43723
277.068,0.16583,277.068,0.08859,0.07724
