"Ptime","Pload","Vtime","Vload","yDelta"
219.414,0.41868,219.414,0.37437,0.04431
236.4,0.46422,236.4,0.42429,0.03993
268.026,0.62443,268.026,0.31683,0.3076
342.81,0.93758,342.81,0.22573,0.71185
400.458,0.58147,400.458,0.54717,0.0343
400.854,0.53693,400.854,0.49176,0.04517
428.862,0.48679,428.862,0.45106,0.03573
437.712,0.56895,437.712,0.29751,0.27144
468.186,0.60981,468.186,0.57908,0.0307299999999999
476.31,0.64903,476.31,0.51473,0.1343
476.898,0.51882,476.898,0.32708,0.19174
490.626,0.54709,490.626,0.42914,0.11795
