"Ptime","Pload","Vtime","Vload","yDelta"
276.138,0.11405,276.138,0.01358,0.10047
477.606,0.01882,477.606,-0.02459,0.04341
477.774,0.10417,477.774,0.06081,0.04336
478.116,0.19067,478.116,0.14883,0.04184
478.272,0.15982,478.272,0.0517,0.10812
478.398,0.08217,478.398,-0.04505,0.12722
478.554,0.03017,478.554,-0.13839,0.16856
478.914,0.17472,478.914,-0.1226,0.29732
479.052,0.42272,479.052,0.11703,0.30569
479.178,0.38256,479.178,0.31201,0.07055
479.358,0.47199,479.358,0.26032,0.21167
479.712,0.46951,479.712,0.16947,0.30004
479.838,0.35838,479.838,0.30289,0.05549
479.934,0.3084,479.934,0.17725,0.13115
480.012,0.20238,480.012,0.10779,0.09459
480.186,0.29167,480.186,-0.02863,0.3203
480.378,0.31513,480.378,0.16191,0.15322
480.552,0.41536,480.552,0.30852,0.10684
480.642,0.31839,480.642,0.14597,0.17242
480.792,0.58602,480.792,0.47647,0.10955
480.996,1.06486,480.996,0.61465,0.45021
481.236,0.86946,481.236,-0.02165,0.89111
482.082,-0.05763,482.082,-0.20001,0.14238
482.322,-0.07122,482.322,-0.26513,0.19391
483.204,0.50224,483.204,-0.14658,0.64882
483.36,0.37621,483.36,-0.21619,0.5924
483.504,-0.06837,483.504,-0.10091,0.03254
