"Ptime","Pload","Vtime","Vload","yDelta"
145.152,0.1907,145.152,0.09646,0.09424
278.568,1.24084,278.568,1.17858,0.06226
289.008,1.35837,289.008,1.18627,0.1721
297.72,1.27006,297.72,0.92188,0.34818
340.194,1.54344,340.194,1.5111,0.0323399999999998
345.402,1.58646,345.402,1.34734,0.23912
350.55,1.38485,350.55,1.09733,0.28752
357.432,1.15768,357.432,1.12137,0.0363100000000001
357.546,1.11821,357.546,1.05224,0.0659699999999999
357.99,1.04697,357.99,0.84872,0.19825
358.488,0.85343,358.488,0.66762,0.18581
364.698,0.74372,364.698,0.55984,0.18388
385.644,0.84804,385.644,0.76711,0.0809300000000001
405.504,1.04094,405.504,0.95703,0.0839099999999999
444.492,1.29758,444.492,1.24353,0.0540499999999999
455.988,1.36797,455.988,1.31832,0.04965
470.916,1.47717,470.916,1.20938,0.26779
491.49,1.41975,491.49,1.2081,0.21165
491.856,1.19014,491.856,0.75419,0.43595
532.578,0.99206,532.578,0.80647,0.18559
537.924,0.8473,537.924,0.56319,0.28411
561.384,0.70931,561.384,0.02769,0.68162
