"Ptime","Pload","Vtime","Vload","yDelta"
154.548,0.07737,154.548,0.03003,0.04734
277.83,0.37879,277.83,0.27339,0.1054
316.308,0.66421,316.308,0.42398,0.24023
316.518,0.4368,316.518,0.35509,0.08171
367.368,0.86194,367.368,0.82233,0.03961
376.506,0.96684,376.506,0.90283,0.06401
383.046,0.98924,383.046,0.92515,0.06409
385.008,0.94454,385.008,0.77271,0.17183
388.176,0.7318,388.176,0.7011,0.0307000000000001
388.848,0.69581,388.848,0.42691,0.2689
417.408,0.63726,417.408,0.57156,0.0657000000000001
424.44,0.59871,424.44,0.50647,0.09224
435.63,0.57633,435.63,0.00319,0.57314
