"Ptime","Pload","Vtime","Vload","yDelta"
112.668,0.47697,112.668,0.37,0.10697
164.514,1.38703,164.514,1.19265,0.19438
165.06,1.18517,165.06,0.9354,0.24977
165.714,0.93744,165.714,0.82192,0.11552
177.282,1.13851,177.282,0.75295,0.38556
184.134,0.96865,184.134,0.83251,0.13614
189.798,0.99801,189.798,0.84616,0.15185
190.632,0.86189,190.632,0.6515,0.21039
205.242,1.06367,205.242,0.9807,0.0829699999999999
205.362,0.98895,205.362,0.85951,0.12944
206.058,0.86573,206.058,0.69085,0.17488
209.814,0.75574,209.814,0.50589,0.24985
209.976,0.51198,209.976,0.36764,0.14434
216.762,0.52416,216.762,0.48143,0.0427299999999999
224.778,0.68647,224.778,0.45828,0.22819
231.192,0.62471,231.192,0.49123,0.13348
237.042,0.60364,237.042,0.41032,0.19332
242.238,0.51061,242.238,0.41538,0.09523
250.584,0.52966,250.584,0.39369,0.13597
250.878,0.39489,250.878,0.04611,0.34878
251.694,0.09245,251.694,0.05259,0.03986
294.966,0.82815,294.966,0.12507,0.70308
295.248,0.22137,295.248,0.19075,0.03062
296.514,0.199,296.514,0.16624,0.03276
317.064,0.76983,317.064,0.5806,0.18923
325.854,0.83016,325.854,0.71275,0.11741
340.104,1.06418,340.104,0.91278,0.1514
352.134,1.17259,352.134,0.99199,0.1806
356.988,1.07415,356.988,0.87418,0.19997
366.156,1.01882,366.156,0.50766,0.51116
374.994,0.63418,374.994,0.38822,0.24596
380.034,0.40115,380.034,0.0384,0.36275
446.472,0.17953,446.472,0.13315,0.04638
449.544,0.13891,449.544,0.07871,0.0602
473.652,0.13583,473.652,0.09682,0.03901
503.466,0.09729,503.466,0.05285,0.04444
