"Ptime","Pload","Vtime","Vload","yDelta"
103.95,0.84322,103.95,0.72923,0.11399
123.612,0.82343,123.612,0.77856,0.04487
129.504,0.86687,129.504,0.74271,0.12416
160.854,1.15539,160.854,0.9831,0.17229
175.554,1.19487,175.554,0.97975,0.21512
198.534,1.23805,198.534,0.99005,0.248
216.18,1.20697,216.18,0.99593,0.21104
241.614,1.27545,241.614,1.07326,0.20219
242.166,0.82707,242.166,0.79536,0.03171
242.286,0.78493,242.286,0.65653,0.1284
256.524,0.79999,256.524,0.53095,0.26904
256.62,0.55209,256.62,0.33344,0.21865
257.748,0.30284,257.748,0.27266,0.03018
