"Ptime","Pload","Vtime","Vload","yDelta"
143.976,0.19417,143.976,0.04151,0.15266
153,0.08674,153,0.00529,0.08145
192.054,0.2283,192.054,0.12,0.1083
196.434,0.13119,196.434,0.0221,0.10909
242.196,0.24778,242.196,0.10274,0.14504
242.496,0.10473,242.496,0.07262,0.03211
248.472,0.12915,248.472,0.04073,0.08842
264.324,0.11286,264.324,0.03916,0.0737
268.836,0.06258,268.836,0.00805,0.05453
306.066,0.10624,306.066,0.02788,0.07836
355.002,0.22668,355.002,0.06412,0.16256
365.946,0.10396,365.946,0.00892,0.09504
