"Ptime","Pload","Vtime","Vload","yDelta"
128.508,0.35522,128.508,0.30038,0.05484
134.79,0.35747,134.79,0.31253,0.04494
173.586,0.54656,173.586,0.29005,0.25651
173.688,0.30038,173.688,0.11474,0.18564
187.524,0.23581,187.524,0.13672,0.09909
230.994,0.58745,230.994,0.45693,0.13052
235.5,0.49431,235.5,0.40726,0.08705
252.33,0.58585,252.33,0.45726,0.12859
262.518,0.51254,262.518,0.27047,0.24207
270.018,0.27481,270.018,0.03722,0.23759
340.548,0.28602,340.548,0.03514,0.25088
387.894,0.13336,387.894,0.06056,0.0728
