"Ptime","Pload","Vtime","Vload","yDelta"
131.64,0.24276,131.664,0.19896,0.0438
145.47,0.43124,145.47,0.40069,0.03055
153.438,0.48647,153.438,0.40067,0.0858
167.934,0.50258,167.934,0.36602,0.13656
174.138,0.38338,174.138,0.12874,0.25464
179.43,0.17851,179.43,0.01237,0.16614
254.712,0.48726,254.712,0.42379,0.06347
254.844,0.42618,254.844,0.28638,0.1398
284.238,0.60205,284.238,0.41024,0.19181
290.238,0.41225,290.238,0.25744,0.15481
319.482,0.439,319.482,0.3441,0.0949
321.24,0.13773,321.24,0.10542,0.03231
