"Ptime","Pload","Vtime","Vload","yDelta"
212.814,0.33963,212.814,0.23474,0.10489
291.828,0.74307,291.828,0.39529,0.34778
303.696,0.45901,303.696,0.34877,0.11024
305.094,0.35901,305.094,0.10032,0.25869
367.638,0.47031,367.638,0.37875,0.09156
379.74,0.32477,379.74,0.25424,0.07053
459.648,0.55224,459.648,0.24577,0.30647
460.332,0.06036,460.332,0.02271,0.03765
510.606,0.12543,510.606,0.07437,0.05106
533.832,0.12718,533.832,0.08471,0.04247
707.184,0.1806,707.184,0.07513,0.10547
841.788,0.25032,841.788,0.033,0.21732
