"Ptime","Pload","Vtime","Vload","yDelta"
114.912,0.36112,114.912,0.32474,0.03638
176.67,0.88881,176.67,0.849,0.03981
192.204,1.05052,192.204,1.00906,0.0414599999999998
194.802,1.00956,194.802,0.88843,0.12113
206.49,1.07107,206.49,0.93555,0.13552
228.252,1.42616,228.252,1.25138,0.17478
232.86,1.32779,232.86,1.05888,0.26891
233.058,1.05999,233.058,0.93621,0.12378
244.698,1.12923,244.698,0.84811,0.28112
245.322,0.83771,245.322,0.51335,0.32436
246.768,0.51134,246.768,0.47943,0.03191
265.65,0.8411,265.65,0.74425,0.09685
266.262,0.72705,266.262,0.44846,0.27859
268.278,0.45139,268.278,0.38571,0.06568
268.716,0.38194,268.716,0.29686,0.08508
277.194,0.45987,277.194,0.11978,0.34009
277.494,0.19635,277.494,0.14785,0.0485
282.588,0.21606,282.588,0.12543,0.09063
291.744,0.23566,291.744,0.0752,0.16046
300.504,0.15464,300.504,0.08277,0.07187
314.394,0.17673,314.394,0.02152,0.15521
350.754,0.06392,350.754,0.02701,0.03691
385.236,0.32447,385.236,0.20261,0.12186
394.734,0.0428,394.734,0.01272,0.03008
