"Ptime","Pload","Vtime","Vload","yDelta"
122.496,0.50589,122.496,0.46419,0.0417
122.928,0.45851,122.928,0.4103,0.04821
143.928,0.64318,143.928,0.60598,0.0372
154.884,0.68827,154.884,0.65055,0.0377200000000001
165,0.72997,165,0.46958,0.26039
203.07,0.9781,203.07,0.90445,0.07365
215.586,1.06266,215.586,0.66201,0.40065
215.718,0.67225,215.718,0.63629,0.03596
238.146,0.92985,238.146,0.82881,0.10104
246.948,0.90754,246.948,0.65003,0.25751
248.094,0.6149,248.094,0.39256,0.22234
288.834,1.02086,288.834,0.93985,0.0810100000000001
302.67,1.15154,302.67,1.06014,0.0913999999999999
306.564,1.11286,306.564,0.98467,0.12819
315.222,1.13618,315.222,0.99716,0.13902
329.394,1.13681,329.394,1.09347,0.0433400000000002
331.014,1.09508,331.014,-0.0044,1.09948
331.092,-0.00172,331.092,-0.0346,0.03288
422.898,0.44414,422.898,0.05801,0.38613
423.39,0.12833,423.39,0.08481,0.04352
430.938,0.1554,430.938,0.1146,0.0408
468.258,0.47458,468.258,0.28947,0.18511
480.744,0.41072,480.744,0.32405,0.08667
486.594,0.37592,486.594,0.32293,0.05299
495.15,0.38647,495.15,0.02336,0.36311
495.942,0.07976,495.942,0.04702,0.03274
497.076,0.07657,497.076,0.02806,0.04851
589.188,0.61423,589.188,0.43809,0.17614
637.95,0.66397,637.95,0.56889,0.0950799999999999
647.262,0.55768,647.262,0.11233,0.44535
667.596,0.30117,667.596,0.23161,0.06956
731.214,0.58569,731.214,0.13464,0.45105
780.27,0.57819,780.27,-0.08047,0.65866
