"Ptime","Pload","Vtime","Vload","yDelta"
246.06,0.16659,246.108,0.12581,0.04078
297.402,0.35577,297.402,0.26663,0.08914
313.422,0.40124,313.422,0.20751,0.19373
366.27,0.89859,366.27,0.62445,0.27414
372.276,0.67013,372.276,0.49767,0.17246
372.426,0.50909,372.426,0.44186,0.0672300000000001
404.592,0.9411,404.592,0.53017,0.41093
408.054,0.58436,408.054,0.54434,0.0400199999999999
439.512,0.99023,439.512,0.34707,0.64316
439.89,0.40942,439.89,0.36389,0.04553
440.19,0.42204,440.19,0.15525,0.26679
448.746,0.22276,448.746,0.08366,0.1391
449.97,0.0504,449.97,0.01969,0.03071
