"Ptime","Pload","Vtime","Vload","yDelta"
182.55,0.16653,182.55,0.13585,0.03068
206.592,0.26611,206.592,0.22327,0.04284
241.974,0.66241,241.974,0.49574,0.16667
242.706,0.49796,242.706,0.29835,0.19961
265.986,0.74266,265.986,0.6824,0.06026
266.832,0.68682,266.832,0.476,0.21082
270.786,0.52258,270.786,0.15806,0.36452
276.732,0.30306,276.732,0.27147,0.03159
302.502,0.73297,302.502,0.46891,0.26406
302.586,0.47617,302.586,0.38806,0.08811
312.15,0.55081,312.15,0.45393,0.09688
319.668,0.54849,319.668,0.41633,0.13216
321.054,0.41292,321.054,0.22862,0.1843
334.878,0.3911,334.878,0.24896,0.14214
354.372,0.43384,354.372,0.36142,0.07242
357.618,0.36311,357.618,0.20271,0.1604
364.89,0.02875,364.89,-0.00832,0.03707
430.638,0.07318,430.638,0.04259,0.03059
