"Ptime","Pload","Vtime","Vload","yDelta"
161.508,0.42296,161.508,0.33212,0.09084
229.488,1.14352,229.488,0.63786,0.50566
282.612,1.85058,282.612,1.81748,0.0330999999999999
290.43,2.05197,290.43,1.83677,0.2152
293.976,1.95561,293.976,1.23045,0.72516
294.126,1.24619,294.126,0.81661,0.42958
297.426,0.86323,297.426,0.71668,0.14655
309.924,1.01513,309.924,0.87097,0.14416
312.462,0.91538,312.462,0.26671,0.64867
316.704,0.36914,316.704,0.33645,0.03269
335.556,0.82311,335.556,0.62568,0.19743
345.57,0.77325,345.57,0.7428,0.03045
345.804,0.74846,345.804,0.64976,0.0987
350.136,0.73487,350.136,0.39606,0.33881
356.79,0.55104,356.79,0.38989,0.16115
372.708,0.65853,372.708,0.47848,0.18005
383.91,0.3711,383.91,0.34012,0.03098
403.314,0.58237,403.314,0.48114,0.10123
418.17,0.61796,418.17,0.55618,0.0617799999999999
448.626,0.60003,448.626,0.25798,0.34205
