"Ptime","Pload","Vtime","Vload","yDelta"
100.668,0.0846,100.668,0.05297,0.03163
171.366,0.32821,171.366,0.14379,0.18442
257.598,0.14496,257.598,0.1062,0.03876
304.95,0.51964,304.95,0.41848,0.10116
311.058,0.4878,311.058,0.44621,0.04159
311.226,0.44342,311.226,0.38127,0.06215
311.664,0.35453,311.664,0.28917,0.06536
312.066,0.27626,312.066,-0.00818,0.28444
383.604,0.52573,383.604,0.19445,0.33128
400.752,0.41716,400.752,0.3563,0.06086
420.696,0.51192,420.696,0.46048,0.05144
422.154,0.45906,422.154,0.37677,0.08229
451.734,0.55483,451.734,0.52449,0.03034
453.756,0.53053,453.756,0.36978,0.16075
460.944,0.41512,460.944,0.34613,0.06899
476.88,0.46525,476.88,0.36002,0.10523
486.24,0.41285,486.24,0.0541,0.35875
501.06,0.14215,501.06,0.10469,0.03746
510.984,0.14954,510.984,0.02267,0.12687
