"Ptime","Pload","Vtime","Vload","yDelta"
97.098,0.03381,97.098,0.00301,0.0308
107.376,0.07978,107.376,0.03723,0.04255
147.216,0.4111,147.216,0.28825,0.12285
157.662,0.4964,157.662,0.4284,0.068
164.586,0.55004,164.586,0.47763,0.07241
170.508,0.60536,170.508,0.41061,0.19475
179.238,0.69786,179.238,0.62599,0.07187
186.318,0.80566,186.318,0.71532,0.0903400000000001
186.84,0.71549,186.84,0.67411,0.04138
209.91,1.3229,209.91,1.23412,0.0887799999999999
210.414,1.23664,210.414,1.13526,0.10138
214.572,0.97666,214.572,0.94301,0.03365
215.022,0.93947,215.022,0.72751,0.21196
215.13,0.73412,215.13,0.63217,0.10195
216.384,0.65061,216.384,0.52899,0.12162
219.348,0.61463,219.348,0.48481,0.12982
232.47,0.78439,232.47,0.66333,0.12106
242.73,0.87763,242.73,0.76998,0.10765
254.676,0.98144,254.676,0.88701,0.09443
258.45,0.94134,258.45,-0.03295,0.97429
260.7,0.0361,260.7,0.00519,0.03091
301.998,0.0764,301.998,0.03456,0.04184
352.656,0.47691,352.656,0.22538,0.25153
