"Ptime","Pload","Vtime","Vload","yDelta"
80.652,0.14566,80.652,0.09637,0.04929
149.65199,0.46478,149.65199,0.42249,0.04229
154.06799,0.45822,154.06799,0.35009,0.10813
201.63,0.58499,201.63,0.51039,0.0746
203.274,0.50522,203.274,0.30761,0.19761
215.94,0.39238,215.94,0.09825,0.29413
265.548,0.43531,265.548,0.39251,0.0427999999999999
317.87399,0.68106,317.87399,0.61971,0.06135
343.944,0.73568,343.944,0.60719,0.12849
379.48199,0.73012,379.48199,0.58844,0.14168
383.18399,0.57796,383.18399,0.52136,0.0566
416.67599,0.40166,416.67599,0.37129,0.03037
455.19601,0.49301,455.19601,-0.06156,0.55457
