End date,"1/8/2017"
Specimen label,"11DG_85"
Maximum Load,"0.06319",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00068"
"0.00600","0.00000","0.00068"
"0.01200","0.00006","0.00067"
"0.01800","0.00012","0.00064"
"0.02400","0.00018","0.00064"
"0.03000","0.00030","0.00064"
"0.03600","0.00048","0.00066"
"0.04200","0.00066","0.00068"
"0.04800","0.00084","0.00068"
"0.05400","0.00108","0.00069"
"0.06000","0.00138","0.00066"
"0.06600","0.00167","0.00052"
"0.07200","0.00203","0.00041"
"0.07800","0.00233","0.00035"
"0.08400","0.00275","0.00035"
"0.09000","0.00317","0.00031"
"0.09600","0.00359","0.00033"
"0.10200","0.00407","0.00038"
"0.10800","0.00454","0.00046"
"0.11400","0.00502","0.00048"
"0.12000","0.00556","0.00052"
"0.12600","0.00616","0.00069"
"0.13200","0.00676","0.00086"
"0.13800","0.00735","0.00094"
"0.14400","0.00795","0.00096"
"0.15000","0.00855","0.00094"
"0.15600","0.00921","0.00089"
"0.16200","0.00981","0.00091"
"0.16800","0.01046","0.00099"
"0.17400","0.01112","0.00102"
"0.18000","0.01178","0.00106"
"0.18600","0.01244","0.00108"
"0.19200","0.01309","0.00106"
"0.19800","0.01375","0.00103"
"0.20400","0.01441","0.00103"
"0.21000","0.01507","0.00112"
"0.21600","0.01572","0.00114"
"0.22200","0.01638","0.00111"
"0.22800","0.01704","0.00113"
"0.23400","0.01770","0.00118"
"0.24000","0.01836","0.00119"
"0.24600","0.01901","0.00119"
"0.25200","0.01967","0.00126"
"0.25800","0.02027","0.00133"
"0.26400","0.02093","0.00145"
"0.27000","0.02152","0.00157"
"0.27600","0.02212","0.00164"
"0.28200","0.02272","0.00175"
"0.28800","0.02332","0.00184"
"0.29400","0.02392","0.00196"
"0.30000","0.02451","0.00200"
"0.30600","0.02505","0.00197"
"0.31200","0.02565","0.00192"
"0.31800","0.02619","0.00199"
"0.32400","0.02679","0.00200"
"0.33000","0.02732","0.00194"
"0.33600","0.02792","0.00194"
"0.34200","0.02846","0.00189"
"0.34800","0.02900","0.00181"
"0.35400","0.02960","0.00185"
"0.36000","0.03013","0.00190"
"0.36600","0.03067","0.00193"
"0.37200","0.03115","0.00192"
"0.37800","0.03169","0.00199"
"0.38400","0.03223","0.00207"
"0.39000","0.03276","0.00215"
"0.39600","0.03324","0.00224"
"0.40200","0.03378","0.00231"
"0.40800","0.03426","0.00226"
"0.41400","0.03480","0.00226"
"0.42000","0.03528","0.00222"
"0.42600","0.03575","0.00227"
"0.43200","0.03629","0.00228"
"0.43800","0.03677","0.00222"
"0.44400","0.03731","0.00228"
"0.45000","0.03779","0.00230"
"0.45600","0.03827","0.00234"
"0.46200","0.03880","0.00248"
"0.46800","0.03928","0.00263"
"0.47400","0.03976","0.00280"
"0.48000","0.04030","0.00295"
"0.48600","0.04078","0.00300"
"0.49200","0.04131","0.00295"
"0.49800","0.04179","0.00284"
"0.50400","0.04227","0.00275"
"0.51000","0.04281","0.00263"
"0.51600","0.04329","0.00252"
"0.52200","0.04377","0.00247"
"0.52800","0.04424","0.00253"
"0.53400","0.04478","0.00261"
"0.54000","0.04526","0.00267"
"0.54600","0.04574","0.00273"
"0.55200","0.04622","0.00287"
"0.55800","0.04670","0.00304"
"0.56400","0.04723","0.00319"
"0.57000","0.04771","0.00327"
"0.57600","0.04819","0.00335"
"0.58200","0.04867","0.00341"
"0.58800","0.04921","0.00342"
"0.59400","0.04969","0.00337"
"0.60000","0.05022","0.00328"
"0.60600","0.05070","0.00317"
"0.61200","0.05124","0.00311"
