End date,"1/8/2017"
Specimen label,"11DG_Unk2"
Maximum Load,"0.18525",N

Time,Extension,Load
(s),(mm),(N)
"1.04400","1.80792","-0.00439"
"1.05000","1.80839","-0.00447"
"1.05600","1.80887","-0.00443"
"1.06200","1.80941","-0.00436"
"1.06800","1.80989","-0.00436"
"1.07400","1.81037","-0.00439"
"1.08000","1.81091","-0.00440"
"1.08600","1.81138","-0.00461"
"1.09200","1.81186","-0.00478"
"1.09800","1.81240","-0.00486"
"1.10400","1.81288","-0.00494"
"1.11000","1.81342","-0.00510"
"1.11600","1.81389","-0.00517"
"1.12200","1.81443","-0.00524"
"1.12800","1.81491","-0.00531"
"1.13400","1.81545","-0.00528"
"1.14000","1.81593","-0.00512"
"1.14600","1.81647","-0.00496"
"1.15200","1.81694","-0.00482"
"1.15800","1.81748","-0.00477"
"1.16400","1.81796","-0.00475"
"1.17000","1.81844","-0.00471"
"1.17600","1.81898","-0.00462"
"1.18200","1.81946","-0.00452"
"1.18800","1.81993","-0.00456"
"1.19400","1.82047","-0.00464"
"1.20000","1.82095","-0.00481"
"1.20600","1.82149","-0.00493"
"1.21200","1.82197","-0.00495"
"1.21800","1.82250","-0.00499"
"1.22400","1.82298","-0.00494"
"1.23000","1.82346","-0.00500"
"1.23600","1.82400","-0.00498"
"1.24200","1.82448","-0.00483"
"1.24800","1.82496","-0.00459"
"1.25400","1.82549","-0.00441"
"1.26000","1.82597","-0.00437"
"1.26600","1.82651","-0.00439"
"1.27200","1.82699","-0.00435"
"1.27800","1.82747","-0.00435"
"1.28400","1.82801","-0.00440"
"1.29000","1.82848","-0.00454"
"1.29600","1.82896","-0.00479"
"1.30200","1.82944","-0.00505"
"1.30800","1.82998","-0.00508"
"1.31400","1.83046","-0.00497"
"1.32000","1.83093","-0.00481"
"1.32600","1.83141","-0.00469"
"1.33200","1.83195","-0.00454"
"1.33800","1.83243","-0.00442"
"1.34400","1.83297","-0.00433"
"1.35000","1.83345","-0.00443"
"1.35600","1.83392","-0.00452"
"1.36200","1.83446","-0.00467"
"1.36800","1.83494","-0.00475"
"1.37400","1.83542","-0.00466"
"1.38000","1.83596","-0.00451"
"1.38600","1.83644","-0.00441"
"1.39200","1.83691","-0.00435"
"1.39800","1.83745","-0.00434"
"1.40400","1.83793","-0.00442"
"1.41000","1.83847","-0.00445"
"1.41600","1.83895","-0.00452"
"1.42200","1.83948","-0.00454"
"1.42800","1.83996","-0.00450"
"1.43400","1.84050","-0.00446"
"1.44000","1.84098","-0.00444"
"1.44600","1.84146","-0.00449"
"1.45200","1.84194","-0.00444"
"1.45800","1.84247","-0.00441"
"1.46400","1.84295","-0.00437"
"1.47000","1.84343","-0.00441"
"1.47600","1.84391","-0.00447"
"1.48200","1.84439","-0.00455"
"1.48800","1.84493","-0.00459"
"1.49400","1.84540","-0.00449"
"1.50000","1.84588","-0.00439"
"1.50600","1.84636","-0.00443"
"1.51200","1.84690","-0.00453"
"1.51800","1.84738","-0.00471"
"1.52400","1.84786","-0.00482"
"1.53000","1.84839","-0.00488"
"1.53600","1.84887","-0.00485"
"1.54200","1.84941","-0.00464"
"1.54800","1.84989","-0.00432"
"1.55400","1.85043","-0.00411"
"1.56000","1.85090","-0.00406"
"1.56600","1.85138","-0.00410"
"1.57200","1.85192","-0.00415"
"1.57800","1.85240","-0.00424"
"1.58400","1.85288","-0.00426"
"1.59000","1.85336","-0.00417"
"1.59600","1.85383","-0.00411"
"1.60200","1.85437","-0.00422"
"1.60800","1.85485","-0.00435"
"1.61400","1.85533","-0.00442"
"1.62000","1.85581","-0.00454"
"1.62600","1.85635","-0.00464"
"1.63200","1.85682","-0.00461"
"1.63800","1.85736","-0.00454"
"1.64400","1.85784","-0.00457"
"1.65000","1.85838","-0.00464"
"1.65600","1.85886","-0.00463"
"1.66200","1.85933","-0.00460"
"1.66800","1.85987","-0.00456"
"1.67400","1.86035","-0.00444"
"1.68000","1.86089","-0.00436"
"1.68600","1.86137","-0.00432"
"1.69200","1.86191","-0.00421"
"1.69800","1.86244","-0.00412"
"1.70400","1.86292","-0.00415"
"1.71000","1.86346","-0.00417"
"1.71600","1.86394","-0.00420"
"1.72200","1.86448","-0.00421"
"1.72800","1.86496","-0.00428"
"1.73400","1.86549","-0.00428"
"1.74000","1.86597","-0.00424"
"1.74600","1.86645","-0.00408"
"1.75200","1.86699","-0.00409"
"1.75800","1.86747","-0.00410"
"1.76400","1.86800","-0.00409"
"1.77000","1.86848","-0.00420"
"1.77600","1.86896","-0.00439"
"1.78200","1.86944","-0.00437"
"1.78800","1.86998","-0.00440"
"1.79400","1.87046","-0.00445"
"1.80000","1.87093","-0.00460"
"1.80600","1.87147","-0.00462"
"1.81200","1.87195","-0.00451"
"1.81800","1.87243","-0.00440"
"1.82400","1.87297","-0.00426"
"1.83000","1.87345","-0.00418"
"1.83600","1.87398","-0.00418"
"1.84200","1.87446","-0.00427"
"1.84800","1.87500","-0.00434"
"1.85400","1.87548","-0.00431"
"1.86000","1.87596","-0.00405"
"1.86600","1.87643","-0.00383"
"1.87200","1.87697","-0.00373"
